code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source
LSCC,2026-03-27,False,,False,,,,,,,,,,,,,,,90.39,,,0.990367054434613,14.6,2025-12-01,28.1,2,0,70.55,2025-02-17,-50.8,2,41,,,,3,6.0,-16.5,-9.2,False,False,,108.08,-16.367505551443372,Electronic Technology,Semiconductors,
DAN,2026-03-27,False,,False,,,,,,,,,,,,,,,32.55,,,0.9706710334563226,77.3,2025-08-11,82.9,2,1,17.8,2025-06-30,-15.2,1,6,,,,5,6.0,-14.0,-8.5,True,False,,36.16,-9.983407079646012,Unknown,Unknown,
KEYS,2026-03-27,False,,False,,,,,,,,,,,,,,,279.06,,,0.9692688213732054,41.0,2025-11-24,47.4,2,1,189.32,2023-02-13,-37.4,13,145,,,,3,5.0,-15.1,-10.5,False,False,,317.0,-11.968454258675076,Electronic Technology,Electronic Equipment/Instruments,
WDC,2026-03-27,False,,True,,,,,,,,,,,,,,,275.34,,,0.9636634475543564,336.1,2025-06-23,355.2,3,0,60.49,2024-07-08,-52.5,3,50,,,,6,2.0,-15.5,-13.9,False,False,,319.62,-13.8539515674864,Electronic Technology,Computer Peripherals,
XPO,2026-03-27,False,,True,,,,,,,,,,,,,,,189.05,,,0.9609194973325058,-7.2,2026-02-02,18.6,1,0,159.43,2024-12-09,-46.6,5,60,,,,2,5.0,-16.4,-11.0,True,False,,220.5,-14.263038548752826,Transportation,Trucking,
GSK,2026-03-27,False,,False,,,,,,,,,,,,,,,53.84,,,0.9521287261463948,16.8,2025-10-27,26.2,2,0,42.67,2024-05-20,-29.3,4,75,,,,4,8.0,-13.9,-10.1,True,False,,61.21,-12.0405162555138,Unknown,Unknown,
JNJ,2026-03-27,False,,False,,,,,,,,,,,,,,,240.45,,,0.9483792706807967,41.4,2025-08-04,45.4,4,0,165.38,2022-04-04,-18.7,10,174,,,,7,5.0,-6.2,-2.9,True,False,,251.71,-4.473401930793386,Health Technology,Pharmaceuticals: Major,
VRT,2026-03-27,False,,False,,,,,,,,,,,,,,,251.07,,,0.9463955159156516,7.1,2026-02-09,24.1,0,0,202.33,2025-10-27,-27.0,1,15,,,,2,3.0,-10.2,-9.3,False,False,,282.05,-10.983868108491412,Electronic Technology,Electronic Production Equipment,
DE,2026-03-27,False,,True,,,,,,,,,,,,,,,566.64,,,0.9431813516089564,-2.8,2026-02-02,7.2,0,0,528.42,2025-05-12,-18.3,2,38,,,,1,6.0,-18.2,-16.0,False,False,,674.19,-15.95247630489922,Producer Manufacturing,Trucks/Construction/Farm Machinery,
STX,2026-03-27,False,,False,,,,,,,,,,,,,,,380.07,,,0.9424611561800564,225.8,2025-05-26,238.5,6,0,112.29,2024-10-14,-44.3,2,32,,,,7,8.0,-25.6,-17.3,False,False,,459.84,-17.347338204592898,Electronic Technology,Computer Peripherals,
AMGN,2026-03-27,False,,False,,,,,,,,,,,,,,,348.77,,,0.9384270213185594,7.3,2025-12-15,7.8,3,0,323.47,2024-09-16,-24.7,4,65,,,,4,5.0,-11.6,-10.6,False,False,,391.29,-10.866620664979942,Health Technology,Biotechnology,
FIGS,2026-03-27,False,,False,,,,,,,,,,,,,,,14.7,,,0.9323983017327844,87.0,2025-10-13,113.0,3,1,6.9,2024-09-23,-48.3,2,55,,,,3,4.0,-20.8,-15.9,True,False,,17.48,-15.903890160183076,Unknown,Unknown,
HLT,2026-03-27,False,,False,,,,,,,,,,,,,,,294.04,,,0.9113826042784496,5.0,2025-12-08,5.7,2,0,278.2,2025-02-03,-29.7,4,44,,,,3,6.0,-9.8,-8.4,False,False,,333.7,-11.884926580761157,Consumer Services,Hotels/Resorts/Cruise lines,
CAT,2026-03-27,False,,False,,,,,,,,,,,,,,,695.4,,,0.9106612676111516,69.6,2025-07-14,72.7,2,0,402.55,2025-01-20,-34.5,1,25,,,,9,7.0,-16.1,-12.0,False,False,,789.81,-11.95350780567478,Producer Manufacturing,Trucks/Construction/Farm Machinery,
TEVA,2026-03-27,False,,False,,,,,,,,,,,,,,,28.74,,,0.9071265337085762,19.9,2025-11-03,26.1,2,0,22.8,2024-12-23,-45.3,2,45,,,,4,8.0,-24.2,-23.1,False,False,,37.35,-23.05220883534137,Health Technology,Pharmaceuticals: Generic,
ALB,2026-03-27,False,,True,,,,,,,,,,,,,,,179.45,,,0.8903739105668522,56.7,2025-11-10,67.3,0,0,107.25,2024-11-18,-54.7,3,51,,,,3,10.0,-19.2,-6.3,True,False,,205.49,-12.672149496325869,Unknown,Unknown,
WMT,2026-03-27,False,,True,,,,,,,,,,,,,,,122.89,,,0.8813168592267974,17.2,2025-11-17,18.1,3,0,104.09,2025-02-10,-24.0,4,40,,,,3,7.0,-12.3,-8.5,True,False,,134.41,-8.570790863775013,Unknown,Unknown,
TPR,2026-03-27,False,,True,,,,,,,,,,,,,,,138.84,,,0.8751968190940708,13.0,2025-12-08,17.8,1,0,117.83,2025-08-04,-22.2,2,18,,,,3,6.0,-12.8,-11.8,False,False,,161.54,-14.052247121455984,Unknown,Unknown,
PAAS,2026-03-27,False,,False,,,,,,,,,,,,,,,51.7,,,0.8635873858888541,81.0,2025-06-02,101.6,3,1,25.64,2024-10-21,-23.6,1,32,,,,9,5.0,-33.2,-24.8,True,False,,69.81,-25.94184214295946,Unknown,Unknown,
RTX,2026-03-27,False,,True,,,,,,,,,,,,,,,189.71,,,0.8468627763450719,40.6,2025-05-26,44.9,8,1,130.88,2025-02-24,-15.6,1,13,,,,8,4.0,-11.7,-11.6,False,False,,214.5,-11.557109557109555,Electronic Technology,Aerospace & Defense,
TTMI,2026-03-27,False,,False,,,,,,,,,,,,,,,95.47,,,0.8458458580673939,225.1,2025-05-12,241.0,4,1,28.0,2024-12-09,-43.7,2,22,,,,9,6.0,-22.1,-13.4,True,False,,113.46,-15.855808214348666,Electronic Technology,Electronic Components,
WWD,2026-03-27,False,,False,,,,,,,,,,,,,,,351.17,,,0.8357851116643329,17.1,2025-11-24,31.7,2,0,266.64,2025-07-28,-12.7,1,17,,,,5,6.0,-12.4,-11.8,False,False,,403.0,-12.861042183622828,Producer Manufacturing,Industrial Machinery,
APLD,2026-03-27,False,,True,,,,,,,,,,,,,,,23.76,,,0.8317412174384997,89.8,2025-07-28,90.4,3,0,12.48,2025-02-17,-73.5,2,23,,,,6,10.0,-40.3,-39.1,False,False,,42.27,-43.78992193044713,Unknown,Unknown,
MNST,2026-03-27,False,,False,,,,,,,,,,,,,,,71.83,,,0.8238806724668776,9.9,2025-09-22,11.5,3,0,64.45,2024-03-11,-32.8,6,80,,,,6,5.0,-18.0,-17.8,False,False,,87.38,-17.795834287022195,Consumer Non-Durables,Beverages: Non-Alcoholic,
HL,2026-03-27,False,,False,,,,,,,,,,,,,,,17.93,,,0.8236358606224105,136.2,2025-08-04,145.3,2,0,7.31,2024-10-14,-39.1,3,42,,,,5,10.0,-49.5,-44.2,True,False,,34.16,-47.511709601873534,Unknown,Unknown,
LMT,2026-03-27,False,,False,,,,,,,,,,,,,,,615.84,,,0.8114307884570086,-2.4,2026-01-26,4.3,0,0,590.19,2024-10-14,-31.9,4,67,,,,3,4.0,-12.1,-10.5,False,False,,692.0,-11.005780346820805,Electronic Technology,Aerospace & Defense,
