snapshot_date,code,selection_source,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,_evidence_family_count,review_reason,pit_eps_yoy_growth,volume_ratio,dist_to_52w_high_pct,pullback_v_is_dry,sector,industry
2026-08-07,SENEA,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,174.02,2.76,3,unconfirmed_near_buy_point|eps|rs_near_high|supply_contraction,33.1775700935,0.7075210275196326,-4.685251319226069,True,Consumer Non-Durables,Food: Specialty/Candy
2026-08-07,SEPN,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,38.04,2.08,2,unconfirmed_near_buy_point|eps|rs_near_high,61.2244897959,0.7423938628873735,-4.430223972434177,False,Health Technology,Biotechnology
2026-08-07,SHOO,ACTIONABLE_BASELINE,ACTIONABLE,pivot,46.87,3.65,3,weekend_actionable,167.8571428571,1.1023718057757284,-2.2535211267605715,,Consumer Non-Durables,Apparel/Footwear
2026-08-07,SION,SUPPLEMENTAL,UNCONFIRMED,pivot,51.0,0.08,1,unconfirmed_near_buy_point|volume,-60.9756097561,1.4588153778650412,-7.149354193196289,False,Unknown,Unknown
2026-08-07,SNA,ACTIONABLE_BASELINE,ACTIONABLE,pivot,412.33,0.97,2,weekend_actionable,5.0847457627,1.0291274563577046,-1.576757600113465,False,Consumer Durables,Tools & Hardware
2026-08-07,SWK,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,102.72,1.14,3,weekend_actionable,247.7611940299,1.443812577562711,-0.4789730817128079,,Consumer Durables,Tools & Hardware
2026-08-07,SXT,SUPPLEMENTAL,UNCONFIRMED,pivot,124.86,4.01,2,unconfirmed_near_buy_point|eps|rs_near_high,36.3636363636,0.4728562321901488,-1.8589888914078536,False,Consumer Non-Durables,Food: Specialty/Candy
2026-08-07,TPC,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,94.43,4.96,3,weekend_actionable,223.6842105263,0.9724508693377668,-3.118279569892468,,Industrial Services,Engineering & Construction
2026-08-07,TRIN,SUPPLEMENTAL,UNCONFIRMED,pivot,17.99,0.33,3,unconfirmed_near_buy_point|volume|rs_near_high|supply_contraction,-22.2222222222,1.5433254299876271,-1.0958904109588996,True,Miscellaneous,Investment Trusts/Mutual Funds
2026-08-07,TVTX,ACTIONABLE_BASELINE,ACTIONABLE,pivot,60.1,2.03,2,weekend_actionable,-164.2857142857,1.5670065518747125,-7.427536231884046,True,Health Technology,Pharmaceuticals: Major
2026-08-07,TWIN,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,24.0,0.58,2,unconfirmed_near_buy_point|eps|rs_near_high,309.0909090909,0.660623147502151,-1.8699186991869896,False,Producer Manufacturing,Trucks/Construction/Farm Machinery
2026-08-07,TWLO,ACTIONABLE_BASELINE,ACTIONABLE,pivot,238.48,1.17,3,weekend_actionable,4671.4285714286,1.7626083859431223,-5.19449901768173,True,Technology Services,Packaged Software
2026-08-07,UFCS,SUPPLEMENTAL,UNCONFIRMED,pivot,54.42,0.09,2,unconfirmed_near_buy_point|eps|rs_near_high,48.275862069,1.1296868587848112,-2.418487997133645,False,Finance,Property/Casualty Insurance
