snapshot_date,code,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,review_opportunity_1w,opportunity_type_1w,opportunity_delay_sessions,opportunity_anchor_date,opportunity_anchor_price,forward_1w_return_pct,mfe_1w_pct,mae_1w_pct,big_winner_any_1w,big_loser_any_1w,opp_forward_1w_return_pct,opp_mfe_1w_pct,opp_mae_1w_pct,opp_big_winner_any_1w,opp_big_loser_any_1w,forward_2w_return_pct,mfe_2w_pct,mae_2w_pct,big_winner_any_2w,big_loser_any_2w,opp_forward_2w_return_pct,opp_mfe_2w_pct,opp_mae_2w_pct,opp_big_winner_any_2w,opp_big_loser_any_2w,forward_3w_return_pct,mfe_3w_pct,mae_3w_pct,big_winner_any_3w,big_loser_any_3w,opp_forward_3w_return_pct,opp_mfe_3w_pct,opp_mae_3w_pct,opp_big_winner_any_3w,opp_big_loser_any_3w,forward_4w_return_pct,mfe_4w_pct,mae_4w_pct,big_winner_any_4w,big_loser_any_4w,opp_forward_4w_return_pct,opp_mfe_4w_pct,opp_mae_4w_pct,opp_big_winner_any_4w,opp_big_loser_any_4w
2025-10-24,WFC,UNCONFIRMED,pivot,84.33,2.47,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,ZS,UNCONFIRMED,ceiling,317.26,1.81,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,AMZN,ACTIONABLE,ceiling,241.77,1.01,True,CURRENT_ACTIONABLE,0,2025-10-31,244.22,-4.288062704444673,1.268799140593635,-6.606357721203593,False,False,0.07780020559715606,5.888136149175183,-2.346242939495513,True,False,-8.094454150822639,1.268799140593635,-8.799342562263545,False,True,-3.9022183107828012,5.888136149175183,-4.639259933810324,True,False,-13.576910278069565,1.268799140593635,-15.734652192408216,False,True,-9.634754548601155,5.888136149175183,-11.89092102375675,True,True,-8.41165244212031,1.268799140593635,-15.734652192408216,False,True,-4.233885479153021,5.888136149175183,-11.89092102375675,True,True
2025-10-31,C,UNCONFIRMED,ma10_touch_confirm,99.6,1.64,True,UNCONFIRMED_TO_ZONE,1,2025-11-03,101.61000061035156,0.06949929902286822,1.8169199849836115,-3.3260508672754985,True,False,-0.1181013146946186,1.2695609760639215,-4.172815508612038,False,False,-0.41699579413724264,3.1175529702068827,-3.3260508672754985,True,False,-3.365808629467615,2.214348968098312,-4.320440274853421,True,False,-2.0055641858409023,3.1175529702068827,-4.855043020634209,True,False,-1.8895759840687476,2.214348968098312,-5.6884152589091075,True,False,1.9459879474959418,3.623909334433817,-4.855043020634209,True,False,1.5549668551952722,2.716270169916024,-5.6884152589091075,True,False
2025-10-31,CAH,EXTENDED,ceiling,167.11,14.16,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,CHRW,EXTENDED,pivot,138.0,11.59,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,COE,UNCONFIRMED,pivot,48.25,1.55,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,CORZ,EXTENDED,ma10_touch_confirm,19.69,9.4,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,CPNG,UNCONFIRMED,ceiling,31.59,1.2,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,CRDO,UNCONFIRMED,pivot,176.7,6.18,True,UNCONFIRMED_TO_ZONE,1,2025-11-03,180.63999938964844,-14.492524437269338,0.17717389102638315,-23.48175683898237,False,True,-5.8015919856893134,-0.9134155790851528,-18.94928910717246,False,True,-23.94689711633283,0.17717389102638315,-30.98672228540842,False,True,-19.408767536013873,-0.9134155790851528,-26.898802315139434,False,True,-30.234133977178644,0.17717389102638315,-35.26183489214778,False,True,-16.49136037798278,-0.9134155790851528,-31.427146166343267,False,True,-10.56234548023558,0.17717389102638315,-35.26183489214778,False,True,4.317982217732896,18.35695514512363,-31.427146166343267,True,True
2025-10-31,FUTU,UNCONFIRMED,pivot,194.32,2.43,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,GSK,EXTENDED,ceiling,43.39,8.0,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,HOOD,UNCONFIRMED,ma10_touch_confirm,142.2,3.22,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,LKNCY,ACTIONABLE,pivot,39.98,0.3,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,LSCC,UNCONFIRMED,ceiling,70.55,3.42,True,UNCONFIRMED_TO_ZONE,1,2025-11-03,72.81999969482422,-12.979711519789838,2.042212009959621,-16.557015032814448,True,True,-7.909917825280999,-4.078551542364561,-16.39659252505824,False,True,-12.03398970596401,2.042212009959621,-16.557015032814448,False,True,-15.22933287429844,-4.078551542364561,-16.39659252505824,False,True,-7.812495915251816,2.042212009959621,-17.077849836657133,True,True,-5.973631546760738,-4.078551542364561,-16.918428654840934,True,True,-5.962169036055897,2.042212009959621,-17.077849836657133,False,True,-1.9362758014609849,0.38450807535059806,-16.918428654840934,False,True
2025-10-31,MS,UNCONFIRMED,pivot,162.99,0.62,True,UNCONFIRMED_TO_ZONE,1,2025-11-03,163.64999389648438,-1.180768353847872,1.6007240262770672,-3.7979338875595348,True,False,0.855489891529726,2.004276750154732,-3.415824348534069,True,False,-0.2678042807264247,4.546561827116902,-3.7979338875595348,True,False,-2.566451026511418,4.96181526356354,-3.415824348534069,True,False,-3.730982817377926,4.546561827116902,-5.520393886640107,True,False,-0.5010645255192459,4.96181526356354,-5.1451258679980905,True,False,2.538039008819548,4.546561827116902,-5.520393886640107,True,False,3.324169046316783,4.96181526356354,-5.1451258679980905,True,False
2025-10-31,MTSR,EXTENDED,three_weeks_tight,53.23,18.43,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-31,NBIS,UNCONFIRMED,ma10_touch_confirm,117.47,11.36,True,UNCONFIRMED_TO_ZONE,1,2025-11-03,120.47000122070312,-16.9552247915695,0.6940243849113736,-24.43283422669368,False,True,-8.732467971995872,0.4399425366701015,-15.945877720445612,False,True,-37.65671573468109,0.6940243849113736,-38.80597014925373,False,True,-28.629532260552782,0.4399425366701015,-31.9332620825872,False,True,-37.865670047589205,0.6940243849113736,-41.63432904143831,False,True,-23.715447335709317,0.4399425366701015,-35.07927426580615,False,True,-25.261192891135142,0.6940243849113736,-41.63432904143831,False,True,-19.938577263277246,0.4399425366701015,-35.07927426580615,False,True
