code,rows,symbol_found_count,symbol_found_rate,complete_1w_count,complete_1w_rate,complete_2w_count,complete_2w_rate,complete_3w_count,complete_3w_rate,complete_4w_count,complete_4w_rate
GFS,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
GH,8,8,1.0,8,1.0,8,1.0,8,1.0,7,0.875
GHM,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
GHRS,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
GIII,1,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0
GKOS,1,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0
GL,6,6,1.0,6,1.0,6,1.0,6,1.0,6,1.0
GLW,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
GMED,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GNRC,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GOLF,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GOOG,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
GPRE,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
GRC,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
GRDN,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
GRMN,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,1,0.3333333333333333
GS,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
GSAT,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GSBC,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
GSK,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GSL,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
GTX,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
GTY,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GVA,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GWW,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
H,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
HAFC,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
HAL,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HALO,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
HBB,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
HBCP,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
HBNC,4,4,1.0,4,1.0,4,1.0,4,1.0,3,0.75
HBT,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
HCSG,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HEI,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HFBL,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
HFWA,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
HG,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
HGV,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HIW,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
