snapshot_date,code,ibd_entry_status,ibd_candidate_rule,signal_source,price_cache_symbol_found,price_path_state,price_path_available_sessions,price_cache_first_date,price_cache_last_date,price_path_first_forward_date,price_path_last_forward_date
2026-06-12,AXSM,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-12,BCML,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,BURL,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-12,CASY,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-12,CBFV,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,CECO,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,CWBC,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,DBD,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-12,DVA,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-12,ELA,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-12,FAC,ACTIONABLE,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2026-06-12,FR,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,IBOC,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,JBL,UNCONFIRMED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2026-06-12,LYTS,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,M,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,MTX,UNCONFIRMED,ceiling_pullback,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-12,MUSA,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
