audit_rule,horizon,snapshot_date,code,ibd_entry_status,ibd_candidate_rule,current_vs_ibd_candidate_pct,review_opportunity_1w,forward_1w_return_pct,forward_2w_return_pct,forward_3w_return_pct,forward_4w_return_pct,mfe_1w_pct,mfe_2w_pct,mfe_3w_pct,mfe_4w_pct,mae_1w_pct,mae_2w_pct,mae_3w_pct,mae_4w_pct
B0_ACTIONABLE_ONLY,1w,2026-07-17,CHRN,EXTENDED,pivot,10.13,False,-20.01487845512703,-18.043149648605773,-22.13541310029241,-22.13541310029241,9.747027235988481,9.747027235988481,9.747027235988481,9.747027235988481,-21.27976001466274,-36.34672193247347,-36.34672193247347,-36.34672193247347
B0_ACTIONABLE_ONLY,1w,2026-07-17,CLBK,EXTENDED,three_weeks_tight,8.48,False,0.9957840914452731,0.345997879076565,0.6244764197098407,9.44304026293148,8.987340057646831,8.987340057646831,8.987340057646831,9.90717706576907,-0.6751048577008034,-0.6751048577008034,-2.4388140852758533,-2.4388140852758533
B0_ACTIONABLE_ONLY,1w,2026-07-17,FBP,UNCONFIRMED,three_weeks_tight,1.86,True,5.182482102421693,5.58394418958601,4.63503823155087,8.394164877483124,5.839417531917279,7.29927017461498,7.372264547031504,8.686135406022677,-0.32846771474779324,-0.32846771474779324,-0.32846771474779324,-0.32846771474779324
B0_ACTIONABLE_ONLY,1w,2026-07-17,HXL,UNCONFIRMED,ceiling_pullback,3.01,True,4.560536174194696,-2.389309038868459,-1.9342001440376455,-1.3273931067368738,5.252679294024576,5.944815180143981,5.944815180143981,5.944815180143981,-1.2230974690404461,-6.124963505930625,-6.124963505930625,-6.124963505930625
B0_ACTIONABLE_ONLY,1w,2026-07-17,PARR,UNCONFIRMED,ceiling,14.23,False,2.1380530795236385,13.540982698683202,-12.511543021701533,6.005019471218587,8.604994801801368,14.86076631265214,14.86076631265214,14.86076631265214,-1.2669910611121882,-1.2669910611121882,-14.240456333872874,-14.240456333872874
B0_ACTIONABLE_ONLY,1w,2026-07-17,PLSE,UNCONFIRMED,pivot,9.05,False,5.478017108105404,22.575021825365926,47.976273807417954,55.4082384949808,18.17864309913142,28.349616340746977,60.15353025210677,63.88695558539699,-4.274251179315125,-4.274251179315125,-4.274251179315125,-4.274251179315125
B0_ACTIONABLE_ONLY,1w,2026-07-24,LPG,UNCONFIRMED,ceiling,7.52,True,10.048730566313013,6.1963289846610925,9.93269613400043,18.658623548518328,10.095146109809994,11.104664261934882,11.104664261934882,20.90971986453354,-1.390111444224551,-1.390111444224551,-2.251105168874934,-2.251105168874934
B0_ACTIONABLE_ONLY,2w,2025-12-12,CIEN,EXTENDED,pivot,7.39,True,4.301756999427209,8.223149775063444,15.101433914393514,11.583047570747397,4.759106112981648,10.034415880085422,15.386710536952686,18.243981712115765,-8.66690803615291,-8.66690803615291,-8.66690803615291,-8.66690803615291
B0_ACTIONABLE_ONLY,2w,2025-12-12,EXPE,UNCONFIRMED,ma10_touch_confirm,3.18,False,4.414847834581548,3.5376574612683287,8.010253166355842,8.284605124974775,5.559174436795766,5.559174436795766,8.295434227742305,9.667171988074541,-0.3429289318924389,-0.3429289318924389,-0.3429289318924389,-0.3429289318924389
B0_ACTIONABLE_ONLY,2w,2025-12-12,HLT,UNCONFIRMED,ceiling,0.69,True,2.677158060101492,2.7157995770447974,3.0390309342283706,5.617816098116002,3.615222699082077,3.615222699082077,3.615222699082077,6.594522254039892,-0.5832145710684355,-0.5832145710684355,-0.5832145710684355,-0.5832145710684355
B0_ACTIONABLE_ONLY,2w,2025-12-12,HWM,UNCONFIRMED,ceiling,3.63,True,2.66902554307471,5.696270796548064,8.31988180982175,10.817357604200705,2.825431982714921,7.225029033657493,9.17255712133933,12.820385496143526,-3.6074641809159647,-3.6074641809159647,-3.6074641809159647,-3.6074641809159647
