snapshot_date,code,reasons,reason_count,exclusive_reason,next_open_w4_return_pct,next_open_w4_stop8,is_top20_winner,is_big_winner
2026-02-20,HWM,non_actionable,1,non_actionable,-7.825203,True,False,False
2026-02-20,XPO,non_actionable,1,non_actionable,-10.567147,True,False,False
2026-02-20,UBS,non_actionable|eps_unknown,2,,-11.487304,True,False,False
2026-02-20,NRG,non_actionable,1,non_actionable,-14.51494,True,False,False
2026-02-20,PAC,clear_geometry_failure|eps_unknown,2,,-16.565931,True,False,False
2026-02-20,AS,non_actionable|eps_unknown,2,,-21.652695,True,False,False
2026-02-20,CDE,non_actionable,1,non_actionable,-28.146361,True,False,False
2026-02-27,APEI,non_actionable,1,non_actionable,24.39454,False,True,True
2026-02-27,CASY,clear_geometry_failure,1,clear_geometry_failure,3.366331,False,True,False
2026-02-27,TIGO,non_actionable|eps_unknown,2,,0.812197,False,True,False
2026-02-27,BTSG,clear_geometry_failure,1,clear_geometry_failure,-0.693282,True,True,False
2026-02-27,NATL,clear_geometry_failure,1,clear_geometry_failure,-1.661666,False,False,False
2026-02-27,BMY,non_actionable,1,non_actionable,-4.226737,True,False,False
2026-02-27,KO,clear_geometry_failure,1,clear_geometry_failure,-5.487653,True,False,False
2026-02-27,AZN,non_actionable|eps_unknown,2,,-5.718732,True,False,False
2026-02-27,VVX,clear_geometry_failure,1,clear_geometry_failure,-5.985668,False,False,False
2026-02-27,FIGS,non_actionable,1,non_actionable,-7.928389,True,False,False
2026-02-27,LH,non_actionable,1,non_actionable,-8.224821,True,False,False
2026-02-27,AMGN,non_actionable,1,non_actionable,-10.050934,True,False,False
2026-02-27,PHG,non_actionable|eps_unknown,2,,-14.696059,True,False,False
2026-02-27,FCX,non_actionable,1,non_actionable,-18.623785,True,False,False
2026-02-27,NEM,clear_geometry_failure,1,clear_geometry_failure,-21.465649,True,False,False
2026-02-27,DG,non_actionable,1,non_actionable,-23.791797,True,False,False
2026-02-27,PAAS,non_actionable|eps_unknown,2,,-25.099484,True,False,False
2026-02-27,OR,non_actionable|eps_unknown,2,,-25.608981,True,False,False
