snapshot_date,code,current_b0_raw_rank,current_b0_lane,current_b0_eligible,current_b0_reject_reasons,current_b0_selected,current_b0_pick_order,w4_return_pct,w4_stop8,snapshot_w4_return_pct,snapshot_w4_stop8,snapshot_price_valid
2025-11-28,CIEN,7,constructive_pullback,False,non_actionable,False,,24.2635,False,18.348759,True,True
2025-11-28,COHR,10,constructive_pullback,False,non_actionable,False,,19.5187,False,16.717399,False,True
2025-11-28,CRDO,29,incomplete_evidence,False,non_actionable,False,,-15.8063,True,-18.451577,True,True
2025-11-28,EA,13,constructive_pullback,False,non_actionable|eps_unknown,False,,,,,,False
2025-11-28,FE,14,constructive_pullback,False,non_actionable,False,,-5.1623,False,-6.022016,True,True
2025-11-28,HLT,19,incomplete_evidence,False,non_actionable,False,,3.3538,False,2.965253,False,True
2025-11-28,IONQ,28,incomplete_evidence,False,non_actionable,False,,-5.4276,False,-6.693712,True,True
2025-11-28,LYFT,21,incomplete_evidence,False,non_actionable,False,,-5.4781,True,-6.466952,True,True
2025-11-28,MNST,1,constructive_pullback,True,,True,1.0,2.6557,False,3.093746,False,True
2025-11-28,MS,11,constructive_pullback,False,non_actionable,False,,7.6081,False,7.195495,False,True
2025-11-28,NRG,22,incomplete_evidence,False,non_actionable,False,,-3.9836,True,-5.081918,True,True
2025-11-28,NU,35,incomplete_evidence,False,non_actionable|eps_unknown,False,,-3.8439,True,-3.622772,True,True
2025-11-28,OUST,31,incomplete_evidence,False,non_actionable,False,,-0.9021,False,-4.311847,True,True
2025-11-28,ROST,16,standard_breakout,True,,True,2.0,3.4522,False,2.944533,False,True
2025-11-28,SHOP,32,incomplete_evidence,False,non_actionable,False,,11.7997,False,7.684065,False,True
2025-11-28,SOFI,30,incomplete_evidence,False,non_actionable,False,,-6.1048,True,-8.916555,True,True
2025-11-28,STX,4,constructive_pullback,False,non_actionable,False,,5.4708,False,3.716081,True,True
2025-11-28,TTWO,23,incomplete_evidence,False,non_actionable,False,,4.072,False,4.072012,False,True
2025-11-28,UHS,20,incomplete_evidence,False,non_actionable,False,,-6.0675,True,-6.485218,True,True
2025-11-28,VCYT,36,tail_risk,False,clear_geometry_failure,False,,-8.9565,True,-10.245036,True,True
2025-11-28,W,15,constructive_pullback,False,non_actionable,False,,-6.0651,True,-7.743682,True,True
2025-11-28,WES,24,incomplete_evidence,False,non_actionable|eps_unknown,False,,0.0818,False,-0.514766,False,True
2025-11-28,WFC,17,standard_breakout,True,,True,3.0,10.9901,False,10.96377,False,True
