code,eligible_rank,rank_bucket,w4_return_pct,w4_stop8,selected,snapshot_date
PTRN,36,rank_11_plus,-3.6087,False,False,2026-06-26
LBRX,37,rank_11_plus,9.6805,True,False,2026-06-26
VLO,38,rank_11_plus,15.2749,False,False,2026-06-26
NGS,39,rank_11_plus,-17.4733,True,False,2026-06-26
CLBK,40,rank_11_plus,14.6032,False,False,2026-06-26
RMBI,41,rank_11_plus,-2.5673,True,False,2026-06-26
MPLT,42,rank_11_plus,9.3628,False,False,2026-06-26
PGC,43,rank_11_plus,-2.7702,True,False,2026-06-26
CAC,44,rank_11_plus,1.6372,False,False,2026-06-26
ASND,45,rank_11_plus,-3.5596,False,False,2026-06-26
PSTL,46,rank_11_plus,-2.5441,False,False,2026-06-26
ATLO,47,rank_11_plus,-1.5077,False,False,2026-06-26
MYFW,48,rank_11_plus,-0.0625,False,False,2026-06-26
PLOW,49,rank_11_plus,-12.8679,True,False,2026-06-26
FXNC,50,rank_11_plus,-2.0092,True,False,2026-06-26
WSBF,51,rank_11_plus,-0.5454,False,False,2026-06-26
AROW,52,rank_11_plus,-3.4287,True,False,2026-06-26
SFNC,53,rank_11_plus,1.3998,False,False,2026-06-26
MAC,54,rank_11_plus,1.1355,False,False,2026-06-26
HBNC,55,rank_11_plus,0.9562,False,False,2026-06-26
DGII,56,rank_11_plus,-5.5579,True,False,2026-06-26
NHC,57,rank_11_plus,10.3025,False,False,2026-06-26
LQDT,58,rank_11_plus,-4.5732,False,False,2026-06-26
LAMR,59,rank_11_plus,2.0544,False,False,2026-06-26
HBCP,60,rank_11_plus,2.1482,False,False,2026-06-26
MSGS,61,rank_11_plus,0.878,False,False,2026-06-26
PKBK,62,rank_11_plus,1.7141,False,False,2026-06-26
CHMG,63,rank_11_plus,7.429,False,False,2026-06-26
ABCB,64,rank_11_plus,-2.9535,False,False,2026-06-26
ZION,65,rank_11_plus,0.1601,False,False,2026-06-26
CSX,66,rank_11_plus,11.3133,False,False,2026-06-26
MCBS,67,rank_11_plus,2.8353,False,False,2026-06-26
