ticker,code,vol_ratio_1w,eps_growth,close,open|1W,high|1W,low|1W,volume|1W,market_cap_basic,change|1W,sector
NASDAQ:SEIC,SEIC,2.0624702781301636,19.607005553182383,88.84,79.68,92.87,79.68,8601615,10860523492.0,11.34227346785311,Finance
AMEX:PTHS,PTHS,2.022680375282349,-134.7335680350002,23.06,23.0,23.3,22.73,78712,77378817.0,0.19552465783184078,Health Technology
NYSE:TFIN,TFIN,2.0169560503076247,,67.56,65.78,68.94,60.99,2320920,1608350424.0,1.7776438686351415,Finance
NASDAQ:KALU,KALU,2.00982533508372,181.6960218645612,177.86,147.8,181.47,145.24,2288934,2906340315.9999995,19.892146949780937,Non-Energy Minerals
NASDAQ:EQPT,EQPT,1.9689903462435612,,22.99,20.8,25.89,20.8,12359632,6116424020.000001,7.580720636406165,Technology Services
NYSE:CWT,CWT,1.9580762889229606,-41.73228346456693,46.38,44.8,48.08,44.8,4303183,2766235221.9999995,3.158362989323847,Utilities
NASDAQ:MKTW,MKTW,1.9385814365439258,-28.4678319077724,17.51,17.0,17.775,16.25,210888,281224190.0,3.0000000000000093,Technology Services
NYSE:WTS,WTS,1.9218550446998723,24.00119112611048,301.21,299.37,306.45,288.59,1926160,10055228539.0,-0.40998512150769023,Producer Manufacturing
NASDAQ:CBIO,CBIO,1.9067635207836295,59.1036514596911,24.8,20.93,27.41,20.4,1965284,683407836.0,16.54135338345864,Health Technology
NYSE:AZZ,AZZ,1.9003600149107849,-21.092700403045242,143.33,137.09,147.32,132.42,1694048,4282744621.9999995,4.437481783736522,Process Industries
NASDAQ:WSC,WSC,1.8998822214273097,-315.466499686913,22.66,20.38,23.215,20.135,18295581,4098161382.0000005,12.011863568956993,Finance
NASDAQ:SRBK,SRBK,1.8984052669727571,-8.754208754208758,18.53,17.92,18.75,17.24,314819,140361677.0,2.773155851358846,Finance
NASDAQ:AMSC,AMSC,1.8811454609466707,3989.703588143526,49.48,39.37,51.47,38.81,9706897,2355855870.0,24.572004028197377,Producer Manufacturing
NASDAQ:ISRG,ISRG,1.8723586503077347,19.19603236752806,482.22,471.355,491.15,451.29,15804884,170784406004.0,2.772745678907109,Health Technology
NYSE:DGX,DGX,1.8576030858777628,15.639834881320947,196.27,194.22,209.79,191.63,8302069,21726388081.0,0.6409599015485591,Health Services
NASDAQ:FLXS,FLXS,1.8507338818796482,,48.2,46.27,52.84,44.75,362603,258136586.0,3.3447684391080665,Consumer Durables
NASDAQ:ALMU,ALMU,1.8502663613223853,56.24472573839662,19.205,15.77,21.25,15.6,9271118,345746630.0,19.13771712158807,Commercial Services
NYSE:FBP,FBP,1.841840379326638,20.84572885677857,23.41,23.18,24.36,23.16,12147388,3645319832.0000005,0.7748600947051215,Finance
NASDAQ:HRMY,HRMY,1.841581184727303,-54.91880442457049,30.8,29.74,34.99,28.74,8389259,1782315558.0,2.700900300100041,Health Technology
NASDAQ:FVCB,FVCB,1.8343245718910564,25.134072220235957,15.69,15.51,18.41,15.29,686272,282050102.99999994,0.9003215434083522,Finance
NYSE:VTOL,VTOL,1.8189131312047744,-42.371134020618555,48.52,47.84,49.94,46.31,1722717,1416347333.0,0.06186842647968887,Transportation
NYSE:VOYA,VOYA,1.8164503933596856,49.25484351713859,80.35,74.75,80.76,73.89,9238248,7421317170.999999,7.924781732706503,Finance
NASDAQ:VECO,VECO,1.8127635856875808,-92.92415949960908,51.73,43.92,53.43,43.47,9906782,3124077649.0,20.38631603444263,Electronic Technology
NASDAQ:ERAS,ERAS,1.8076625263118693,10.087719298245624,21.49,19.01,24.28,18.8001,43042636,6679082485.0,13.045765386638594,Health Technology
NASDAQ:PKOH,PKOH,1.8072995458795058,-73.41772151898734,28.48,26.99,28.85,25.71,260198,410064016.99999994,4.322344322344321,Producer Manufacturing
NASDAQ:HCSG,HCSG,1.799654101593833,57.492486045513104,22.42,19.11,24.39,19.11,6659011,1545948739.0000002,16.953573291601458,Commercial Services
NASDAQ:VICR,VICR,1.793032979742943,688.5304659498207,273.53,218.0,293.95,203.0,7163402,12410916339.0,25.44370557211647,Electronic Technology
NYSE:GRC,GRC,1.7926144948885778,,76.78,67.83,78.5,65.04,1424241,2020299932.0,12.48168766481101,Producer Manufacturing
NASDAQ:PPIH,PPIH,1.7907828122205016,176.25633932687873,32.1,30.31,32.885,29.54,734818,260757048.00000003,5.905641702408455,Producer Manufacturing
NASDAQ:CVGW,CVGW,1.7828974340132806,-83.47474747474747,28.13,27.605,28.58,27.28,2144852,502797820.00000006,3.533308796466681,Process Industries
NASDAQ:VC,VC,1.7782987102281773,-53.39435232309966,113.69,97.97,115.64,97.97,5307975,3034843338.0,15.245818550430807,Producer Manufacturing
NASDAQ:CLFD,CLFD,1.7720497774571502,85.08575689783743,30.17,29.66,32.635,28.34,990405,412888865.0,0.6337558372248208,Electronic Technology
NASDAQ:JBIO,JBIO,1.767851173538655,90.1249065869542,24.98,22.51,26.735,22.2801,4085899,1231920756.0,9.321663019693649,Health Technology
NASDAQ:OUST,OUST,1.7594217873007085,,28.22,24.87,30.0,24.59,15471520,1772328646.0,16.32316570486396,Electronic Technology
NYSE:WTTR,WTTR,1.7590240629592864,79.14110429447852,16.74,15.04,16.94,14.87,15621473,2311201232.0,12.575655682582376,Energy Minerals
NYSE:VMI,VMI,1.752531323150617,27.465456986136484,498.92,410.89,499.4,407.465,1612438,9752495573.0,20.915127720420728,Producer Manufacturing
NASDAQ:ASYS,ASYS,1.7524516727196089,-66.05504587155964,18.77,16.54,19.74,16.21,1876721,270409741.0,15.792720542874761,Producer Manufacturing
NASDAQ:CHDN,CHDN,1.74754577688166,14.02246748127711,101.55,91.88,102.89,88.17,8410866,7077721123.0,10.129053248020826,Consumer Services
NASDAQ:PENN,PENN,1.7324902517347387,-102.56908140403287,17.24,15.61,17.41,14.64,35373794,2300632407.0,8.769716088328067,Consumer Services
NYSE:TFX,TFX,1.7250711923615143,-447.9452984492179,136.56,130.12,139.67,124.405,7272246,6044880823.000001,3.784769721842217,Health Technology
NASDAQ:HWKN,HWKN,1.7175694034845883,-4.585881045025018,170.7,150.64,172.14,146.0959,1295846,3567987363.0000005,12.986497220015869,Process Industries
NYSE:RNGR,RNGR,1.7094876640989003,-45.533596837944664,18.32,17.08,18.815,16.94,1491788,438045202.00000006,7.38569753810083,Industrial Services
NASDAQ:CEVA,CEVA,1.7086854193892935,41.41689373297004,28.87,23.29,29.185,23.29,3271167,801261960.0,23.270708795900934,Electronic Technology
NASDAQ:MRVL,MRVL,1.6923753415952763,103.34065934065934,164.31,147.51,170.84,143.93,176753238,143682233244.0,17.62474049681438,Electronic Technology
