snapshot_date,horizon,rank1_code,rank2_code,rank3_code,rank1_return_pct,rank2_return_pct,rank3_return_pct,raw_portfolio_return_pct,stop_capped_portfolio_return_pct,worst_pick_return_pct,best_pick_return_pct,loss_concentration,gain_concentration,one_pick_ruins_portfolio,is_left10_raw,is_right10_raw
2026-01-30,W4,HON,AAOI,ZM,8.2013,100.4999,-19.3587,29.780833333333334,-2.5995666666666666,-19.3587,100.4999,1,0.9245518908714899,false,false,true
2026-02-20,W4,FANG,HEI,UAL,9.884,-21.1591,-19.1824,-10.1525,-2.0386666666666664,-21.1591,9.884,0.5244995847948143,1,false,true,false
2026-02-27,W4,EQIX,GMED,EXPE,0.3483,-11.6711,8.6347,-0.8960333333333329,0.32766666666666683,-11.6711,8.6347,1,0.961226761660915,true,false,false
2026-04-02,W4,MRVL,INVA,PFIS,50.7818,0.917,4.2541,18.650966666666665,18.650966666666665,0.917,50.7818,,0.9075811977573994,false,false,true
2026-04-10,W4,SPIR,FRAF,HLIO,-16.5237,3.6338,-3.5401,-5.476666666666667,-2.6354333333333333,-16.5237,3.6338,0.8235578504570421,1,true,false,false
2026-04-17,W4,AMLX,ALB,CVEO,-26.8722,-7.9693,12.0593,-7.594066666666666,-1.3135666666666665,-26.8722,12.0593,0.7712698936612948,1,true,true,false
2026-04-24,W4,MCRI,NVTS,SANM,1.5779,69.762,24.6977,32.01253333333333,6.091866666666667,1.5779,69.762,,0.7264029921614035,false,false,true
2026-05-01,W4,RBB,IRM,BEN,-1.3284,1.1273,4.2077,1.3355333333333332,1.3355333333333332,-1.3284,4.2077,1,0.788697282099344,false,false,false
2026-05-08,W4,FTNT,KRYS,CTS,29.0633,-2.3932,1.4537,9.374600000000001,6.223366666666667,-2.3932,29.0633,1,0.9523642559884654,false,false,false
2026-05-15,W4,HLIO,CVS,AIZ,9.1932,6.5398,2.8735,6.202166666666666,6.202166666666666,2.8735,9.1932,,0.49408540026334885,false,false,false
2026-05-22,W4,CMPR,PDLB,CLBK,-17.0739,2.766,-1.9481,-5.418666666666666,-2.3940333333333332,-17.0739,2.766,0.8975870045210809,1,true,false,false
2026-05-29,W4,BWA,NBIX,ILMN,-3.7314,5.748,9.7606,3.9257333333333335,3.9257333333333335,-3.7314,9.7606,1,0.6293669318958512,false,false,false
2026-06-05,W4,TWIN,AMG,TBBB,14.1071,2.228,6.6954,7.676833333333334,7.676833333333334,2.228,14.1071,,0.6125398927509172,false,false,false
2026-06-12,W4,MCS,CWBC,FDSB,-2.4204,4.1877,9.5509,3.7727333333333335,3.7727333333333335,-2.4204,9.5509,1,0.6951872825469844,false,false,false
2026-06-18,W4,TER,ADI,GEV,-29.3287,-14.2524,-6.3892,-16.656766666666666,-8,-29.3287,-6.3892,0.5869226320434338,,false,true,false
2026-06-26,W4,EGBN,ADPT,QCRH,-1.8301,5.0472,2.1939,1.8036666666666668,-0.25296666666666656,-1.8301,5.0472,1,0.6970211708165887,false,false,false
2026-07-02,W4,BMRC,BSET,PACS,2.8094,-6.799,3.7664,-0.07440000000000009,-0.07440000000000009,-6.799,3.7664,1,0.5727668116426898,true,false,false
2026-07-10,W4,BSVN,RAPP,LASR,-1.7677,10.6274,-20.6136,-3.917966666666667,0.2865666666666667,-20.6136,10.6274,0.9210188863024041,1,true,false,false
2026-07-17,W4,CZFS,BIIB,IRM,13.3324,2.8175,4.666,6.938633333333333,6.938633333333333,2.8175,13.3324,,0.6404911630052028,false,false,false
2026-07-24,W4,BLFS,IMAX,PKG,24.2049,20.6589,-1.0723,14.597166666666666,14.597166666666666,-1.0723,24.2049,1,0.5395196126944217,false,false,false
