snapshot_date,code,old_eps,new_eps,old_source,new_source,new_status,new_missing_reason,new_effective_date,old_known,new_known,old_eps25,new_eps25,old_e0_eligible,new_e0_eligible,old_b0_selected,new_b0_selected,old_pick_order,new_pick_order
2025-11-28,HLT,28.9855072464,28.9855072464,SEC,SEC,resolved,,2025-10-22,True,True,True,True,False,False,False,False,,
2025-11-28,BIDU,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-11-28,WWD,18.9781021898,63.9705882353,SEC,SEC,resolved,,2025-11-25,True,True,False,True,False,False,False,False,,
2025-11-28,MNST,30.4347826087,30.4347826087,SEC,SEC,resolved,,2011-08-09,True,True,True,True,True,True,True,True,1.0,1.0
2025-11-28,CHRW,67.5,67.5,SEC,SEC,resolved,,2025-10-31,True,True,True,True,False,False,False,False,,
2025-11-28,EA,,,,,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE,,False,False,False,False,False,False,False,False,,
2025-11-28,WFC,16.9014084507,16.9014084507,SEC,SEC,resolved,,2025-10-31,True,True,False,False,True,True,True,True,3.0,3.0
2025-11-28,WMT,57.1428571429,57.1428571429,SEC,SEC,resolved,,2025-08-29,True,True,True,True,False,False,False,False,,
2025-11-28,ROST,-1.8867924528,-1.8867924528,SEC,SEC,resolved,,2025-09-10,True,True,False,False,True,True,True,True,2.0,2.0
2025-11-28,BKR,-300.0,-58.5365853659,SEC,SEC,resolved,,2025-02-04,True,True,False,False,False,False,False,False,,
2025-11-28,NRG,118.2058047493,118.2058047493,SEC,SEC,resolved,,2025-11-06,True,True,True,True,False,False,False,False,,
2025-11-28,WES,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-11-28,CASY,19.4616977226,19.4616977226,SEC,SEC,resolved,,2025-09-08,True,True,False,False,False,False,False,False,,
2025-11-28,FE,4.1095890411,4.1095890411,SEC,SEC,resolved,,2025-10-28,True,True,False,False,False,False,False,False,,
2025-11-28,TTWO,64.9038461538,64.9038461538,SEC,SEC,resolved,,2025-11-07,True,True,True,True,False,False,False,False,,
2025-12-05,APP,96.0,96.0,SEC,SEC,resolved,,2025-11-05,True,True,True,True,False,False,False,False,,
2025-12-05,SMTC,70.0,70.0,SEC,SEC,resolved,,2025-11-25,True,True,True,True,False,False,False,False,,
2025-12-05,ASTS,-357.1428571429,-357.1428571429,SEC,SEC,resolved,,2022-11-14,True,True,False,False,False,False,False,False,,
2025-12-05,LSCC,-60.0,-60.0,SEC,SEC,resolved,,2025-11-03,True,True,False,False,False,False,False,False,,
2025-12-05,TSLA,-37.0967741935,-37.0967741935,SEC,SEC,resolved,,2025-10-23,True,True,False,False,False,False,False,False,,
2025-12-05,PATH,100.0,100.0,SEC,SEC,resolved,,2025-09-08,True,True,True,True,False,False,False,False,,
2025-12-05,WDC,127.4074074074,127.4074074074,SEC,SEC,resolved,,2025-10-31,True,True,True,True,False,False,False,False,,
2025-12-05,AMAT,10.8108108108,8.2926829268,SEC,SEC,resolved,,2025-08-21,True,True,False,False,False,False,False,False,,
2025-12-05,JOBY,-128.5714285714,-128.5714285714,SEC,SEC,resolved,,2025-11-06,True,True,False,False,False,False,False,False,,
2025-12-05,FN,24.882629108,24.882629108,SEC,SEC,resolved,,2025-11-04,True,True,False,False,False,False,False,False,,
2025-12-05,VRT,121.7391304348,121.7391304348,SEC,SEC,resolved,,2025-10-22,True,True,True,True,False,False,False,False,,
2025-12-05,LYFT,466.6666666667,466.6666666667,SEC,SEC,resolved,,2025-11-05,True,True,True,True,False,False,False,False,,
2025-12-05,TSM,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-12-05,ASML,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-12-05,CAT,-3.557312253,-3.557312253,SEC,SEC,resolved,,2025-11-03,True,True,False,False,False,False,False,False,,
2025-12-05,SHOP,,-68.75,,SEC,resolved,,2025-11-04,False,True,False,False,False,False,False,False,,
2025-12-05,C,23.178807947,23.178807947,SEC,SEC,resolved,,2025-11-06,True,True,False,False,False,False,False,False,,
2025-12-05,MS,48.9361702128,48.9361702128,SEC,SEC,resolved,,2025-11-03,True,True,True,True,False,False,False,False,,
2025-12-05,DASH,44.7368421053,44.7368421053,SEC,SEC,resolved,,2025-11-06,True,True,True,True,True,True,True,True,1.0,1.0
2025-12-05,BIDU,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-12-05,BLK,-22.6605504587,-22.6605504587,SEC,SEC,resolved,,2025-11-05,True,True,False,False,False,False,False,False,,
2025-12-05,CVNA,115.8940397351,115.8940397351,SEC,SEC,resolved,,2024-05-01,True,True,True,True,False,False,False,False,,
2025-12-05,EA,,,,,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE,,False,False,False,False,False,False,False,False,,
2025-12-05,WES,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-12-05,WWD,18.9781021898,63.9705882353,SEC,SEC,resolved,,2025-11-25,True,True,False,True,False,False,False,False,,
2025-12-05,JPM,16.0183066362,16.0183066362,SEC,SEC,resolved,,2025-11-04,True,True,False,False,False,False,False,False,,
2025-12-05,COF,9.5238095238,9.5238095238,SEC,SEC,resolved,,2025-11-03,True,True,False,False,False,False,False,False,,
2025-12-05,WFC,16.9014084507,16.9014084507,SEC,SEC,resolved,,2025-10-31,True,True,False,False,False,False,False,False,,
2025-12-05,EWBC,23.8317757009,23.8317757009,SEC,SEC,resolved,,2025-11-07,True,True,False,False,False,False,False,False,,
2025-12-05,TTWO,64.9038461538,64.9038461538,SEC,SEC,resolved,,2025-11-07,True,True,True,True,False,False,False,False,,
2025-12-12,AEO,29.2682926829,29.2682926829,SEC,SEC,resolved,,2025-12-09,True,True,True,True,False,False,False,False,,
