variant,snapshot_date,code,pick_order,entry_date,entry_fill_price,shares,position_cost,stop_price,profit_target,power_trigger_date,minimum_hold_until,exit_date,exit_fill_price,exit_reason,censored,mtm_price,return_pct,holding_days,high_water_pct,entry_fee,exit_fee,net_pnl,capacity,cost_bps_per_side
R2_BALANCED_SOFT,2025-10-10,ALM,3,2025-10-13,8.2,1219.51219512,10000.0,7.544,10.168,2025-10-14,2025-11-28,2025-10-17,7.544,stop_loss,False,7.544,-8.0,4,30.243902,0.0,0.0,-800.0,10,0
R2_BALANCED_SOFT,2025-10-24,AAPL,2,2025-10-27,263.91,37.89170551,10000.0,242.7972,327.2484,,,2026-01-20,242.7972,stop_loss,False,242.7972,-8.0,85,9.067485,0.0,0.0,-800.0,10,0
R2_BALANCED_SOFT,2025-10-31,VTR,2,2025-11-03,71.73,139.4116827,10000.0,65.9916,88.9452,,,2026-05-13,88.9452,profit_target,False,88.9452,24.0,191,25.372926,0.0,0.0,2400.0,10,0
R2_BALANCED_SOFT,2025-10-31,AMZN,3,2025-11-03,255.36,39.160401,10000.0,234.9312,316.6464,,,2025-11-14,234.9312,stop_loss,False,234.9312,-8.0,11,1.268797,0.0,0.0,-800.0,10,0
R2_BALANCED_SOFT,2025-11-07,EXPE,2,2025-11-10,260.74,38.35238168,10000.0,239.8808,323.3176,,,2025-11-18,239.8808,stop_loss,False,239.8808,-8.0,8,6.600445,0.0,0.0,-800.0,10,0
R2_BALANCED_SOFT,2025-11-14,ALL,1,2025-11-17,211.99,47.17203642,10000.0,195.0308,262.8676,,,2026-01-13,195.0308,stop_loss,False,195.0308,-8.0,57,0.382093,0.0,0.0,-800.0,10,0
R2_BALANCED_SOFT,2025-11-14,LH,3,2025-11-17,263.62,37.93338897,10000.0,242.5304,326.8888,,,2026-08-17,326.8888,profit_target,False,326.8888,24.0,273,24.004249,0.0,0.0,2400.0,10,0
R2_BALANCED_SOFT,2025-11-21,GOOG,2,2025-11-24,310.4,32.21649485,10000.0,285.568,384.896,,,2026-03-26,285.568,stop_loss,False,285.568,-8.0,122,12.657861,0.0,0.0,-800.0,10,0
R2_BALANCED_SOFT,2025-11-21,ROST,3,2025-11-24,172.27,58.04841238,10000.0,158.4884,213.6148,,,2026-03-04,213.6148,profit_target,False,213.6148,24.0,100,25.338132,0.0,0.0,2400.0,10,0
R2_BALANCED_SOFT,2025-12-05,LSCC,3,2025-12-08,78.95,126.66244459,10000.0,72.634,97.898,,,2025-12-17,72.634,stop_loss,False,72.634,-8.0,9,1.291957,0.0,0.0,-800.0,10,0
