policy,panel,quarter,horizon,role,snapshot_date,rule_available,n,flagged_n,retained_n,known_n,unknown_n,coverage,known_coverage,baseline_gross,baseline_net,veto_cash_net,random_cash_net,cash_delta,cash_delta_gross,incremental_vs_random,avoided_gross_loss,foregone_gross_gain,saved_cost,flagged_mean,retained_mean,known_retained_mean,known_matched_return_spread,stop_lift,matched,stop_capture,winner_loss,break_even_cost_bps
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-24,True,46,12,34,24,22,0.2608695652173913,0.5217391304347826,0.012147889390116228,0.010147889390116224,0.008520473323202504,0.007500613897042426,-0.0016274160669137207,-0.0021491551973485067,0.0010198594261600774,0.007546742186953409,0.009695897384301915,0.0005217391304347826,0.008238428256502608,0.013527699201979859,0.0053730400686203645,-0.0028653881878822436,0.08333333333333337,1,0.3333333333333333,0.0,82.38428256502608
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-31,True,39,4,35,22,17,0.10256410256410256,0.5641025641025641,-0.03443534834755445,-0.03643534834755445,-0.03392028856892612,-0.03269838954267707,0.0025150597786283285,0.0023099315735001257,-0.00122189902624905,0.003788470799075487,0.0014785392255753616,0.00020512820512820512,-0.022521832841626226,-0.03579689297680339,-0.025097896154482845,-0.002576063312856619,0.16666666666666669,1,0.11764705882352941,,-225.21832841626227
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-07,True,21,1,20,13,8,0.047619047619047616,0.6190476190476191,0.0026646084722286197,0.0006646084722286197,0.0035203727204712043,0.0006329604497415425,0.0028557642482425847,0.0027605261530044907,0.0028874122707296616,0.0027605261530044907,0.0,9.523809523809524e-05,-0.0579710492130943,0.005696391356494766,0.01775265906741086,0.07572370828050516,0.9166666666666666,1,0.16666666666666666,0.0,-579.7104921309431
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-14,True,29,3,26,15,14,0.10344827586206896,0.5172413793103449,0.044829346718493056,0.042829346718493054,0.04480441085866521,0.03839872464416619,0.001975064140172157,0.0017681675884480108,0.006405686214499023,0.007104045827617331,0.005335878239169321,0.00020689655172413793,-0.01709228668833077,0.051974150573126585,0.008873863452964724,0.025966150141295493,0.5,1,0.3333333333333333,0.0,-170.92286688330768
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-21,True,40,4,36,18,22,0.1,0.45,0.048570796250729964,0.04657079625072996,0.04003173648289395,0.04191371662565697,-0.00653905976783601,-0.006739059767836014,-0.001881980142763015,0.0009079838772918274,0.007647043645127842,0.0002,0.06739059767836014,0.04647970720321551,0.037819969145072796,-0.029570628533287346,-0.21428571428571427,1,0.0,0.0,673.9059767836014
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-28,True,44,6,38,18,26,0.13636363636363635,0.4090909090909091,0.05973244461482888,0.057732444614828855,0.05347237831058573,0.049859838530988555,-0.004260066304243124,-0.004532793576970408,0.0036125397795971764,0.003955351684619934,0.008488145261590342,0.00027272727272727274,0.03324048623111633,0.06391538541225718,0.05412405585293093,0.020883569621814604,0.3333333333333333,1,0.5,0.0,332.4048623111633
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-05,True,37,4,33,18,19,0.10810810810810811,0.4864864864864865,-0.027765779030877895,-0.029765779030877897,-0.020040425884180965,-0.026547856973485693,0.009725353146696931,0.009509136930480727,0.006507431089304728,0.009509136930480727,0.0,0.00021621621621621624,-0.08795951660694672,-0.020469568415596835,-0.07280611985543109,0.015153396751515627,-0.0357142857142857,1,0.16666666666666666,,-879.5951660694672
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-12,True,5,0,5,1,4,0.0,0.2,0.05317417178211612,0.05117417178211612,0.05117417178211612,0.05117417178211612,0.0,-0.0,0.0,-0.0,0.0,0.0,,0.05317417178211612,0.083126559285096,,,0,0.0,,
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-19,True,9,1,8,3,6,0.1111111111111111,0.3333333333333333,0.06719370133666508,0.06519370133666508,0.028742712950381902,0.05794995674370229,-0.036450988386283176,-0.0366732106085054,-0.02920724379332039,-0.0,0.0366732106085054,0.0002222222222222222,0.3300588954765486,0.03433555206917964,0.07633853053623205,-0.2537203649403166,0.0,1,0.0,1.0,3300.588954765486
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-26,True,72,12,60,42,30,0.16666666666666666,0.5833333333333334,0.06396749469596269,0.06196749469596268,0.04510812141897716,0.05163957891330224,-0.016859373276985522,-0.017192706610318863,-0.006531457494325078,0.0045190498881849455,0.021711756498503806,0.0003333333333333333,0.10315623966191317,0.056129745702772585,0.06927391961689766,-0.03388232004501551,-0.016666666666666677,1,0.1,0.6666666666666666,1031.5623966191317
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-03,True,62,12,50,35,27,0.1935483870967742,0.5645161290322581,0.047916352946923195,0.04591635294692321,0.02379997275766252,0.037029316892680006,-0.02211638018926069,-0.02250347696345424,-0.013229344135017487,0.0004344389209003742,0.022937915884354614,0.0003870967741935484,0.11626796431118025,0.03151196621950152,0.02587635719176031,-0.09039160711941993,-0.09057971014492754,1,0.08333333333333333,0.6666666666666666,1162.6796431118025
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-10,True,102,17,85,54,48,0.16666666666666666,0.5294117647058824,-0.004348743391732445,-0.006348743391732449,-0.012615196660140342,-0.0052906194931103745,-0.006266453268407893,-0.006599786601741229,-0.007324577167029968,0.0072219798766224395,0.013821766478363667,0.0003333333333333333,0.03959871961044737,-0.013138235992168412,-0.0011545575344676807,-0.04075327714491505,0.18124006359300476,1,0.23529411764705882,0.6666666666666666,395.9871961044737
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-17,True,73,12,61,37,36,0.1643835616438356,0.5068493150684932,0.0077786008824547144,0.0057786008824547135,-0.004562933733434711,0.004828693888078596,-0.010341534615889426,-0.010670301739177096,-0.009391627621513307,0.009300645284488807,0.019970947023665902,0.00032876712328767124,0.06491100224666067,-0.003460560041651375,-0.009178267833349525,-0.0740892700800102,0.2566666666666667,1,0.2631578947368421,1.0,649.1100224666068
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-24,True,46,12,34,24,22,0.2608695652173913,0.5217391304347826,0.008286926209144672,0.006286926209144673,0.004217028647140603,0.0046468585024112795,-0.0020698975620040702,-0.002591636692438852,-0.0004298298552706768,0.005830393369673187,0.008422030062112038,0.0005217391304347826,0.0099346073210156,0.007705391699072582,0.017603455161683938,0.007668847840668338,0.08333333333333337,1,0.3333333333333333,0.0,99.34607321015599
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-31,True,39,4,35,22,17,0.10256410256410256,0.5641025641025641,-0.06984022057204768,-0.0718402205720477,-0.06647314441075926,-0.06447199282106846,0.005367076161288439,0.005161947956160228,-0.0020011515896908028,0.006892471144173293,0.001730523188013064,0.00020512820512820512,-0.05032899257256223,-0.07207007520056032,-0.04361611442230631,0.006712878150255917,0.16666666666666669,1,0.11764705882352941,,-503.2899257256223
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-06-07,True,21,1,20,13,8,0.047619047619047616,0.6190476190476191,0.008640469796853564,0.006640469796853564,0.016443554832893677,0.006324256949384346,0.009803085036040113,0.009707846940802019,0.010119297883509331,0.009707846940802019,0.0,9.523809523809524e-05,-0.2038647857568424,0.019265732574538362,0.03660248819255869,0.24046727394940107,0.9166666666666666,1,0.16666666666666666,0.0,-2038.647857568424
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-06-14,True,29,3,26,15,14,0.10344827586206896,0.5172413793103449,0.05890850405971137,0.05690850405971136,0.0556376732277489,0.05102141743284467,-0.0012708308319624578,-0.0014777273836865965,0.004616255794904232,0.0068251028836545415,0.008302830267341138,0.00020689655172413793,0.014284698042303765,0.06405740475402763,0.00019798529878889992,-0.014086712743514865,0.5,1,0.3333333333333333,0.0,142.84698042303765
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-06-21,True,40,4,36,18,22,0.1,0.45,0.03472117209824767,0.03272117209824767,0.02723953875739072,0.0294490548884229,-0.0054816333408569465,-0.005681633340856945,-0.00220951613103218,0.00241709879090641,0.008098732131763356,0.0002,0.05681633340856945,0.032266154174878575,0.033482003097227035,-0.023334330311342417,-0.21428571428571427,1,0.0,0.0,568.1633340856945
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-06-28,True,44,6,38,18,26,0.13636363636363635,0.4090909090909091,0.05453434266417167,0.052534342664171674,0.04877594904287325,0.045370568664511904,-0.003758393621298421,-0.004031120894025706,0.0034053803783613487,0.0076812724291017796,0.011712393323127485,0.00027272727272727274,0.029561553222855173,0.05847741468122165,0.040227937040789474,0.010666383817934302,0.3333333333333333,1,0.5,0.0,295.61553222855173
