policy,panel,horizon,role,total_quarters,supported_quarters,empty_quarters,no_flag_quarters,available_weeks,observed_weeks,rule_available_weeks,wholly_unknown_weeks,positive_supported_quarters,stop_positive_supported_quarters,incremental_mean,incremental_median,positive_week_fraction,block_ci_low,block_ci_high,leave_one_quarter_out_min,leave_one_quarter_out_max,without_best_week,without_worst_week,calendar_quarters_observed,independent_confirmation,baseline_net,veto_cash_net,random_cash_net,cash_delta,cash_delta_gross,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage,known_coverage,known_matched_return_spread,stop_lift,break_even_cost_bps,leave_one_ticker_out_min,leave_one_ticker_out_max
extended_vs_candidate,nonoverlap_w4,w1,PRIMARY,9,8,1,0,104,104,104,0,3,8,-0.00021582296016261698,-8.848606101263812e-05,0.4423076923076923,-0.0018454774328146542,0.0020122858456810234,-0.0007801332414907331,0.00024973244963660097,-0.0007322053824029716,-1.8103145146548568e-05,8,False,0.001848784871818955,0.0017100364863364996,0.0019258594464991179,-0.00013874838548245488,-0.0005423203168132182,0.005705487388208476,0.006247807705021696,0.00040357193133076373,0.20178596566538187,1.0,-0.001806321053587219,0.10396917662883401,26.876017617228072,-0.0007251649460337128,-5.9240807954136356e-05
extended_vs_candidate,nonoverlap_w4,w2,PRIMARY,9,8,1,0,104,104,104,0,2,8,-0.0026216591050281586,-0.0011107002792095783,0.40384615384615385,-0.007076979957225469,0.0008656712656394118,-0.003523359166760114,-0.0011636527318337137,-0.0032751023427006524,-0.000963490702383593,8,False,0.011036934503257458,0.007117043095589562,0.009738702200617722,-0.003919891407667893,-0.004323463338998657,0.00715049108087873,0.011473954419877388,0.00040357193133076373,0.20178596566538187,1.0,-0.025594673065046262,0.10396917662883401,214.25986315461506,-0.0032436109740208367,-0.0009603738299247715
extended_vs_candidate,nonoverlap_w4,w3,DIAGNOSTIC_ONLY,9,8,1,0,104,104,104,0,3,8,-0.0011872539294098673,-0.0010270305483866529,0.36538461538461536,-0.004208340981614208,0.0020224066579199278,-0.0023218687700174837,-0.0007191034201014868,-0.0019404106011137996,-0.0006492845035612172,8,False,0.01589776795778853,0.012217299886428298,0.013404553815838164,-0.0036804680713602316,-0.004084040002690996,0.007975993976880605,0.012060033979571599,0.00040357193133076373,0.20178596566538187,1.0,-0.015672804289753723,0.10396917662883401,202.39465064996082,-0.0019217528068723204,-0.0007117007205123677
extended_vs_candidate,nonoverlap_w4,w4,PRIMARY,9,8,1,0,104,104,104,0,2,8,-0.0006285200951748895,-0.00036637673577138465,0.4423076923076923,-0.0037478676547966073,0.0036154598436279554,-0.0022188778969050704,-0.00011994098684926997,-0.0015085767666957015,-0.00020290433641789214,8,False,0.02161272658811269,0.017634672070459385,0.01826319216563427,-0.003978054517653303,-0.0043816264489840665,0.009393933805926343,0.01377556025491041,0.00040357193133076373,0.20178596566538187,1.0,-0.00890597397566829,0.10396917662883401,217.1422791736686,-0.0014940712208620875,-0.0002759419608181632
high_pct_above_ceiling,all_entries,w1,PRIMARY,9,8,1,0,104,104,104,0,8,8,0.0016376340204926829,0.0007547470199251983,0.5769230769230769,0.0002777018891614104,0.0029431566868274987,0.0013243661671304436,0.001865017772199859,0.0013614020043762316,0.0017388526392089403,8,False,0.0020478789013322197,0.003038879579598149,0.0014012455591054657,0.0009910006782659288,0.0004934375432707813,0.006747955400094579,0.006254517856823798,0.0004975631349951471,0.24878156749757355,1.0,0.008496694845762551,0.12788138922911926,-19.834168111172225,0.0014766626541896238,0.0017505048049650705
high_pct_above_ceiling,all_entries,w2,PRIMARY,9,8,1,0,104,104,104,0,5,8,0.0015788039681267024,0.0014825794148241658,0.625,-0.00041798368469549596,0.0033841585606327095,0.00101706871270154,0.0018904487544631361,0.001394345249041941,0.0018197388649416647,8,False,0.008433800023805725,0.008594503099323938,0.007015699131197236,0.00016070307551821342,-0.0003368600594769339,0.009448650886300685,0.00978551094577762,0.0004975631349951471,0.24878156749757355,1.0,0.008485862255851052,0.12788138922911926,13.540394606614873,0.0014225379649919435,0.0017703980194657188
high_pct_above_ceiling,all_entries,w3,DIAGNOSTIC_ONLY,9,8,1,0,104,104,104,0,5,8,0.0003081405273890603,-2.8044669751941045e-05,0.47115384615384615,-0.0020283835565617983,0.00252428669111649,-0.00010129391083406908,0.00083789732008165,1.9076773089550928e-05,0.000641649477158556,8,False,0.012965969592123705,0.01059018493049518,0.010282044403106119,-0.0023757846616285242,-0.0028733477966236725,0.010742596346539353,0.013615944143163024,0.0004975631349951471,0.24878156749757355,1.0,-0.0017017286283801606,0.12788138922911926,115.49681214432003,0.00011799627539194831,0.0007263646246167761
high_pct_above_ceiling,all_entries,w4,PRIMARY,9,8,1,0,104,104,104,0,3,8,-0.0010757783337666455,-0.001555942408963236,0.4326923076923077,-0.0049269005429596726,0.002230857081381792,-0.002026889480955196,0.00019595723083677113,-0.0015380630084561823,-0.0003536097367157538,8,False,0.019221135617188315,0.01400246344855587,0.015078241782322515,-0.005218672168632443,-0.005716235303627589,0.011573406192894578,0.01728964149652217,0.0004975631349951471,0.24878156749757355,1.0,-0.008568880451318777,0.12788138922911926,229.7692454117744,-0.0013782146829824195,0.0004846344072660488
high_pct_above_ceiling,nonoverlap_w4,w1,PRIMARY,9,8,1,0,104,104,104,0,7,8,0.0019069908210033726,0.001207841174689197,0.5673076923076923,0.0001422204914991258,0.0036344010816627176,0.0015281008312078511,0.0022288325223667827,0.0015501321473929634,0.0020529129825379573,8,False,0.001848784871818955,0.003192674600797302,0.0012856837797939292,0.0013438897289783465,0.0008353952095452343,0.007564797438084931,0.006729402228539696,0.000508494519433112,0.25424725971655604,1.0,0.009316332027551536,0.11804822882890968,-32.85758951646373,0.0015443105576981074,0.002080789492698056
high_pct_above_ceiling,nonoverlap_w4,w2,PRIMARY,9,8,1,0,104,104,104,0,3,8,0.001596608141469968,0.00132088828337251,0.6153846153846154,-0.0014259605791755758,0.004497158422386362,0.0006655083311570509,0.002146767130494781,0.0009942817191565276,0.0019144962157553523,8,False,0.011036934503257458,0.01057392492374145,0.008977316782271481,-0.00046300957951600735,-0.0009715040989491194,0.00994529824723515,0.010916802346184272,0.000508494519433112,0.25424725971655604,1.0,0.008689771977346095,0.11804822882890968,38.21099586411224,0.0011763047333986836,0.001857940427101668
