policy,panel,horizon,code,affected_weeks,incremental_without_ticker
deep_pullback,all_entries,w1,CHEF,8,0.0007450760038815123
deep_pullback,all_entries,w1,CHKP,7,0.000737166510698538
deep_pullback,all_entries,w1,CHMG,5,0.0007374690546292836
deep_pullback,all_entries,w1,CHRW,4,0.0007365467765851861
deep_pullback,all_entries,w1,CIEN,6,0.0007366776599168425
deep_pullback,all_entries,w1,CIFR,1,0.0007386643450309401
deep_pullback,all_entries,w1,CINF,7,0.0007394283095649065
deep_pullback,all_entries,w1,CIX,1,0.0007305237758913378
deep_pullback,all_entries,w1,CLBT,8,0.0007295340950957002
deep_pullback,all_entries,w1,CLDX,2,0.0007441826397560357
deep_pullback,all_entries,w1,CLMT,8,0.000727717768123929
deep_pullback,all_entries,w1,CLS,8,0.0007312562649434297
deep_pullback,all_entries,w1,CLST,7,0.0007374496706306842
deep_pullback,all_entries,w1,CLYM,1,0.0007390257793246257
deep_pullback,all_entries,w1,CMC,4,0.0007366070206788208
deep_pullback,all_entries,w1,CMDB,2,0.0007369463681482845
deep_pullback,all_entries,w1,CMG,3,0.0007393336620909896
deep_pullback,all_entries,w1,CMI,15,0.0007334958548317792
deep_pullback,all_entries,w1,CMP,4,0.0007378673302790817
deep_pullback,all_entries,w1,CNA,4,0.0007371844067162573
deep_pullback,all_entries,w1,CNO,13,0.0007359583380161576
deep_pullback,all_entries,w1,CNP,12,0.0007422724127607228
deep_pullback,all_entries,w1,CNS,4,0.0007379544397703176
deep_pullback,all_entries,w1,CNXN,6,0.0007371061265962364
deep_pullback,all_entries,w1,COCO,9,0.0007341378989910093
deep_pullback,all_entries,w1,COE,11,0.0007081602579385259
deep_pullback,all_entries,w1,COF,12,0.0007392481831701835
deep_pullback,all_entries,w1,COHR,8,0.0007546978369856225
deep_pullback,all_entries,w1,COIN,3,0.000739856051604296
deep_pullback,all_entries,w1,COLL,3,0.0007391240654769755
deep_pullback,all_entries,w1,CON,2,0.0007387795346112352
deep_pullback,all_entries,w1,CORT,9,0.0006790749604764068
deep_pullback,all_entries,w1,CORZ,4,0.0007524695221068553
deep_pullback,all_entries,w1,COSO,3,0.0007375085922374825
deep_pullback,all_entries,w1,COST,10,0.0007381948531940037
deep_pullback,all_entries,w1,CPAY,5,0.0007367190014963028
deep_pullback,all_entries,w1,CPBI,10,0.0007377413719338466
deep_pullback,all_entries,w1,CPF,4,0.0007376518977016669
deep_pullback,all_entries,w1,CPNG,7,0.0007414296111309686
deep_pullback,all_entries,w1,CQP,2,0.0007375829381513108
deep_pullback,all_entries,w1,CR,16,0.0007315377602842714
deep_pullback,all_entries,w1,CRC,3,0.0007389750473826838
deep_pullback,all_entries,w1,CRDO,10,0.0008496909921786073
deep_pullback,all_entries,w1,CRM,4,0.0007372811366824573
deep_pullback,all_entries,w1,CRNX,9,0.0007202008126803906
deep_pullback,all_entries,w1,CRS,14,0.0007583341003975749
deep_pullback,all_entries,w1,CRUS,3,0.0007392961162309287
deep_pullback,all_entries,w1,CRWD,7,0.0007413089850617778
deep_pullback,all_entries,w1,CSCO,10,0.0007416566639383564
deep_pullback,all_entries,w1,CSTM,3,0.0007432437406921633
deep_pullback,all_entries,w1,CSV,8,0.0007396346663869848
deep_pullback,all_entries,w1,CSWC,3,0.0007369586228058776
deep_pullback,all_entries,w1,CSX,2,0.000736977990276952
deep_pullback,all_entries,w1,CTBI,10,0.0007376310036745916
deep_pullback,all_entries,w1,CTNM,3,0.0007333436111115257
deep_pullback,all_entries,w1,CTRE,12,0.0007377321720614667
deep_pullback,all_entries,w1,CTRI,3,0.0007361766509874359
deep_pullback,all_entries,w1,CTS,3,0.0007371733735097593
deep_pullback,all_entries,w1,CTVA,14,0.0007440672362633937
deep_pullback,all_entries,w1,CUBI,2,0.0007374812045567025
deep_pullback,all_entries,w1,CURB,2,0.0007368924318416593
deep_pullback,all_entries,w1,CURI,3,0.0007403420226561951
deep_pullback,all_entries,w1,CVLG,2,0.0007371673892510561
deep_pullback,all_entries,w1,CVNA,7,0.0007369923685792093
deep_pullback,all_entries,w1,CVX,1,0.0007388525777772443
deep_pullback,all_entries,w1,CW,14,0.0007379627571221661
deep_pullback,all_entries,w1,CXW,1,0.0007314289673569247
deep_pullback,all_entries,w1,CYD,5,0.0007413669279685759
deep_pullback,all_entries,w1,CZWI,5,0.0007448275760972282
deep_pullback,all_entries,w1,D,5,0.0007377552076055901
deep_pullback,all_entries,w1,DAC,2,0.000744443299979316
deep_pullback,all_entries,w1,DAL,7,0.000737926307494247
deep_pullback,all_entries,w1,DAN,1,0.0007372901522191808
deep_pullback,all_entries,w1,DASH,11,0.0007441840940130782
deep_pullback,all_entries,w1,DAVE,3,0.0007674516095290575
deep_pullback,all_entries,w1,DBD,14,0.0007683550372678577
deep_pullback,all_entries,w1,DCO,9,0.0007409938966369013
deep_pullback,all_entries,w1,DE,8,0.0007459664509393102
deep_pullback,all_entries,w1,DECK,1,0.0007401230699411351
deep_pullback,all_entries,w1,DELL,5,0.0007267546625302305
deep_pullback,all_entries,w1,DFDV,3,0.0005435431664930258
deep_pullback,all_entries,w1,DG,3,0.0007374289593601839
deep_pullback,all_entries,w1,DGII,4,0.0007382457629851994
deep_pullback,all_entries,w1,DGX,14,0.0007729921239872845
deep_pullback,all_entries,w1,DHI,3,0.0007363308302644243
deep_pullback,all_entries,w1,DHT,7,0.0007377054681535013
deep_pullback,all_entries,w1,DIS,1,0.0007373754864181031
deep_pullback,all_entries,w1,DJCO,9,0.0007432951675358707
deep_pullback,all_entries,w1,DJT,1,0.0007524721270657913
deep_pullback,all_entries,w1,DKNG,1,0.0007413009983545816
deep_pullback,all_entries,w1,DKS,4,0.000736451352578197
deep_pullback,all_entries,w1,DMLP,1,0.0007367198613699957
deep_pullback,all_entries,w1,DNTH,5,0.0007635576292997308
deep_pullback,all_entries,w1,DOCN,3,0.00081070038073804
deep_pullback,all_entries,w1,DRI,4,0.0007397485980217677
deep_pullback,all_entries,w1,DRS,16,0.0007102055251514514
deep_pullback,all_entries,w1,DTM,17,0.0007383553376324543
deep_pullback,all_entries,w1,DUOL,2,0.0007523499915927138
deep_pullback,all_entries,w1,DVA,13,0.0007360646803552795
deep_pullback,all_entries,w1,DXPE,4,0.0007379618189159639
deep_pullback,all_entries,w1,DXYZ,1,0.0007369591192835378
deep_pullback,all_entries,w1,DY,13,0.0007171197801886961
deep_pullback,all_entries,w1,DYN,5,0.0007320909184816548
deep_pullback,all_entries,w1,EAT,4,0.000739723057629192
deep_pullback,all_entries,w1,EBAY,2,0.0007356581650748039
deep_pullback,all_entries,w1,EBMT,5,0.0007453332872574026
deep_pullback,all_entries,w1,ECBK,14,0.0007381209657501657
deep_pullback,all_entries,w1,ECG,7,0.0007399052807098195
deep_pullback,all_entries,w1,ECO,8,0.0007370295106024679
deep_pullback,all_entries,w1,EE,3,0.0007309648759948853
deep_pullback,all_entries,w1,EFSC,2,0.0007388553683758028
deep_pullback,all_entries,w1,EFSI,3,0.0007392856622306288
deep_pullback,all_entries,w1,EIX,3,0.000737969117844933
deep_pullback,all_entries,w1,ELA,3,0.0007324447656171357
deep_pullback,all_entries,w1,ELAN,9,0.0007271252917455284
deep_pullback,all_entries,w1,ELMD,2,0.0007661777743411581
deep_pullback,all_entries,w1,ELVN,3,0.0007398713775141163
deep_pullback,all_entries,w1,EME,8,0.0007371736739048292
deep_pullback,all_entries,w1,ENLT,2,0.0007442884139471945
deep_pullback,all_entries,w1,ENS,3,0.0007359135270094138
deep_pullback,all_entries,w1,ENVA,13,0.00073097937269297
deep_pullback,all_entries,w1,EQBK,7,0.0007369988819278923
deep_pullback,all_entries,w1,EQH,7,0.0007361384575609501
deep_pullback,all_entries,w1,EQIX,6,0.0007380754087747026
deep_pullback,all_entries,w1,EQX,13,0.0007315492584078618
deep_pullback,all_entries,w1,ERAS,4,0.0007372530364014527
deep_pullback,all_entries,w1,ERIE,4,0.0007370718157423164
deep_pullback,all_entries,w1,ESE,20,0.0007346087046622109
deep_pullback,all_entries,w1,ESEA,7,0.0007276619544214479
deep_pullback,all_entries,w1,ESI,8,0.0007371053973947412
deep_pullback,all_entries,w1,ESNT,7,0.0007374798934332011
deep_pullback,all_entries,w1,ESOA,3,0.0007849540159830116
deep_pullback,all_entries,w1,ESP,3,0.0007456423759271611
deep_pullback,all_entries,w1,ESQ,19,0.000762068633360685
deep_pullback,all_entries,w1,ET,11,0.0007383960262534001
deep_pullback,all_entries,w1,ETN,7,0.0007415030015502792
deep_pullback,all_entries,w1,ETON,2,0.000738701625305386
