policy,panel,quarter,horizon,role,snapshot_date,path_label,baseline_n,flagged_n,avoided_gross_loss,foregone_gross_gain,saved_cost,cash_delta_contribution
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-14,unresolved_3w,21,1,-0.0,0.0020573271455527516,6.896551724137931e-05,-0.0019883616283113722
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-21,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-21,stop_first_3w,6,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-21,fast_winner_3w,2,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-21,unresolved_3w,32,4,0.0015488306510688225,0.0031895018922123474,0.0002,-0.0014406712411435248
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-28,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-28,stop_first_3w,4,2,0.0021841806218441343,0.00013499145307791137,9.090909090909092e-05,0.002140098259675314
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-28,fast_winner_3w,4,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-28,unresolved_3w,36,4,-0.0,0.006367806876011148,0.00018181818181818183,-0.006185988694192967
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-05,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-05,stop_first_3w,18,3,0.008771974980419829,0.0,0.00016216216216216218,0.008934137142581991
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-05,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-05,unresolved_3w,19,1,-0.0,8.335169334316216e-05,5.405405405405406e-05,-2.9297639289108102e-05
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-12,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-12,stop_first_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-12,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-12,unresolved_3w,4,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-19,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-19,stop_first_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-19,fast_winner_3w,1,1,-0.0,0.029032959699527443,0.0002222222222222222,-0.02881073747730522
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-19,unresolved_3w,7,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-26,ambiguous_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-26,stop_first_3w,10,1,0.0037930971296939414,0.0,2.7777777777777776e-05,0.0038208749074717194
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-26,fast_winner_3w,9,6,-0.0,0.015490168938598873,0.00016666666666666666,-0.015323502271932207
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-26,unresolved_3w,52,5,0.00046768695760112083,0.0034641554462391446,0.0001388888888888889,-0.002857579599749135
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-03,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-03,stop_first_3w,12,1,0.0009548150409467388,0.0,3.2258064516129034e-05,0.0009870731054628678
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-03,fast_winner_3w,3,2,-0.0,0.007136473097320778,6.451612903225807e-05,-0.0070719569682885204
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-03,unresolved_3w,47,9,0.0002320732876308387,0.016159475835947,0.0002903225806451613,-0.015637079967670994
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-10,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-10,stop_first_3w,17,4,0.004379244170386437,0.0,7.843137254901961e-05,0.0044576755429354565
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-10,fast_winner_3w,6,4,9.34060164589353e-05,0.005575220869278945,7.843137254901961e-05,-0.005403383480270992
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-10,unresolved_3w,79,9,0.0005611307498975264,0.004167987104276146,0.00017647058823529413,-0.003430385766143325
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-17,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-17,stop_first_3w,19,5,0.0096338730670995,0.0,0.000136986301369863,0.009770859368469362
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-17,fast_winner_3w,2,2,-0.0,0.008513020833333334,5.47945205479452e-05,-0.008458226312785389
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-17,unresolved_3w,52,5,-0.0,0.0053712072922035324,0.000136986301369863,-0.00523422099083367
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-24,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-24,stop_first_3w,15,5,0.006495907034015607,0.00032226799891911956,0.0002173913043478261,0.006391030339444314
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-24,fast_winner_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-24,unresolved_3w,30,7,0.0010508351529378021,0.009373629385382795,0.00030434782608695655,-0.008018446406358036
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-31,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
