policy,panel,quarter,horizon,role,status,n,flagged_n,unknown_n,snapshot_weeks,matched_weeks,evidence_weeks,operational_cash_delta,cash_delta,cash_delta_gross,incremental_vs_random,stop_lift,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage
deep_pullback,nonoverlap_w4,2024Q4,w3,DIAGNOSTIC_ONLY,SUPPORTED,611,43,341,13,11,13,-0.00031420550503822285,-0.00031420550503822285,-0.0004742443044679879,0.0005107458354471552,0.07812752903661994,0.005051794627955785,0.005526038932423773,0.00016003879942976407,0.08001939971488202
deep_pullback,nonoverlap_w4,2024Q4,w4,PRIMARY,SUPPORTED,611,43,341,13,11,13,-0.002400761491136245,-0.002400761491136245,-0.002560800290566011,-0.0014674443851090814,0.07812752903661994,0.00575121983645405,0.00831202012702006,0.00016003879942976407,0.08001939971488202
extended_vs_candidate,all_entries,2024Q4,w1,PRIMARY,SUPPORTED,878,205,0,13,13,13,-0.0013547082449866543,-0.0013547082449866543,-0.0017597612585439114,-0.0015478815677244363,0.053327386843744794,0.0034484968730460067,0.005208258131589919,0.00040505301355725845,0.2025265067786293
extended_vs_candidate,all_entries,2024Q4,w2,PRIMARY,SUPPORTED,878,205,0,13,13,13,-0.0006896673957475411,-0.0006896673957475411,-0.0010947204093048025,-0.0009766596037400525,0.053327386843744794,0.006813226300582399,0.007907946709887202,0.00040505301355725845,0.2025265067786293
extended_vs_candidate,all_entries,2024Q4,w3,DIAGNOSTIC_ONLY,SUPPORTED,878,205,0,13,13,13,-0.0031916583531820465,-0.0031916583531820465,-0.0035967113667393054,-0.002329392143879805,0.053327386843744794,0.007995938101541054,0.01159264946828036,0.00040505301355725845,0.2025265067786293
extended_vs_candidate,all_entries,2024Q4,w4,PRIMARY,SUPPORTED,878,205,0,13,13,13,-0.0031414259302054628,-0.0031414259302054628,-0.0035464789437627186,-0.0023897715051153425,0.053327386843744794,0.010231344021016749,0.013777822964779467,0.00040505301355725845,0.2025265067786293
extended_vs_candidate,nonoverlap_w4,2024Q4,w1,PRIMARY,SUPPORTED,611,141,0,13,12,13,-0.0001471195119491419,-0.0001471195119491419,-0.0005162669433244327,-0.0012159860990010095,0.11673319522742827,0.003897413896638838,0.0044136808399632705,0.00036914743137529194,0.18457371568764594
extended_vs_candidate,nonoverlap_w4,2024Q4,w2,PRIMARY,SUPPORTED,611,141,0,13,12,13,-2.2312775708578325e-06,-2.2312775708578325e-06,-0.0003713787089461477,-0.0010252901894818205,0.11673319522742827,0.007230737753495851,0.0076021164624419995,0.00036914743137529194,0.18457371568764594
extended_vs_candidate,nonoverlap_w4,2024Q4,w3,DIAGNOSTIC_ONLY,SUPPORTED,611,141,0,13,12,13,-0.003047382354755857,-0.003047382354755857,-0.00341652978613115,-0.003278799742068458,0.11673319522742827,0.007971239984927417,0.011387769771058568,0.00036914743137529194,0.18457371568764594
extended_vs_candidate,nonoverlap_w4,2024Q4,w4,PRIMARY,SUPPORTED,611,141,0,13,12,13,-0.0027754047466743473,-0.0027754047466743473,-0.0031445521780496385,-0.004188573853454227,0.11673319522742827,0.011100925577194434,0.014245477755244072,0.00036914743137529194,0.18457371568764594
deep_pullback_and_extended,all_entries,2024Q4,w1,PRIMARY,SUPPORTED,878,21,468,13,8,13,-0.0005007484153132563,-0.0005007484153132563,-0.0005478355227116615,-0.00039862909639530196,0.1371487178945967,0.00039862162555443615,0.0009464571482660978,4.708710739840731e-05,0.023543553699203655
deep_pullback_and_extended,all_entries,2024Q4,w2,PRIMARY,SUPPORTED,878,21,468,13,8,13,0.0005124571510985536,0.0005124571510985536,0.0004653700437001444,0.00032788323884683695,0.1371487178945967,0.001368929063780294,0.0009035590200801499,4.708710739840731e-05,0.023543553699203655
deep_pullback_and_extended,all_entries,2024Q4,w3,DIAGNOSTIC_ONLY,SUPPORTED,878,21,468,13,8,13,5.213077160854748e-05,5.213077160854748e-05,5.043664210141062e-06,0.0003860892432576928,0.1371487178945967,0.0012540854357822595,0.0012490417715721185,4.708710739840731e-05,0.023543553699203655
deep_pullback_and_extended,all_entries,2024Q4,w4,PRIMARY,SUPPORTED,878,21,468,13,8,13,0.0003219255638938079,0.0003219255638938079,0.0002748384564954008,0.00048517516152933674,0.1371487178945967,0.0019242924968660238,0.0016494540403706231,4.708710739840731e-05,0.023543553699203655
deep_pullback_and_extended,nonoverlap_w4,2024Q4,w1,PRIMARY,SUPPORTED,611,13,341,13,7,13,7.922866127942761e-05,7.922866127942761e-05,3.506989947546616e-05,1.4193990511368057e-05,0.038385151738049746,0.0005655150265168334,0.0005304451270413673,4.415876180396195e-05,0.022079380901980975
deep_pullback_and_extended,nonoverlap_w4,2024Q4,w2,PRIMARY,SUPPORTED,611,13,341,13,7,13,0.0010382778142800433,0.0010382778142800433,0.0009941190524760813,0.0006540289752871894,0.038385151738049746,0.0015619045376935353,0.0005677854852174541,4.415876180396195e-05,0.022079380901980975
deep_pullback_and_extended,nonoverlap_w4,2024Q4,w3,DIAGNOSTIC_ONLY,SUPPORTED,611,13,341,13,7,13,0.0007752652024397633,0.0007752652024397633,0.0007311064406358011,0.0009064338283597988,0.038385151738049746,0.0013879693842089086,0.0006568629435731077,4.415876180396195e-05,0.022079380901980975
deep_pullback_and_extended,nonoverlap_w4,2024Q4,w4,PRIMARY,SUPPORTED,611,13,341,13,7,13,0.001316860390379005,0.001316860390379005,0.0012727016285750436,0.0009546538911268585,0.038385151738049746,0.002261811334376262,0.0009891097058012184,4.415876180396195e-05,0.022079380901980975
high_pct_above_ceiling,all_entries,2024Q4,w1,PRIMARY,SUPPORTED,878,225,0,13,13,13,-0.0015846443642776261,-0.0015846443642776261,-0.002137751425173423,4.5947758542451784e-05,0.023806576182685727,0.005759201406363561,0.007896952831536986,0.0005531070608957964,0.2765535304478982
high_pct_above_ceiling,all_entries,2024Q4,w2,PRIMARY,SUPPORTED,878,225,0,13,13,13,7.554279711311872e-05,7.554279711311872e-05,-0.00047756426378268085,0.0011153177044972177,0.023806576182685727,0.009662894635741874,0.010140458899524557,0.0005531070608957964,0.2765535304478982
high_pct_above_ceiling,all_entries,2024Q4,w3,DIAGNOSTIC_ONLY,SUPPORTED,878,225,0,13,13,13,-0.0012995977549179632,-0.0012995977549179632,-0.001852704815813757,0.0018583084666046895,0.023806576182685727,0.011628328566755254,0.013481033382569015,0.0005531070608957964,0.2765535304478982
high_pct_above_ceiling,all_entries,2024Q4,w4,PRIMARY,SUPPORTED,878,225,0,13,13,13,-0.005496280142547147,-0.005496280142547147,-0.006049387203442943,-0.0007163569487059287,0.023806576182685727,0.01341059420177218,0.01945998140521512,0.0005531070608957964,0.2765535304478982
