snapshot_date,code,current_lane,entry_status,setup_route,fresh_demand,follow_through,geometry_failure,quality_state,composition_group,actionable_pullback_context_branch,non_actionable_pullback_context_branch,b0_eligible,industry
2026-04-10,MRVL,incomplete_evidence,EXTENDED,pullback,False,True,False,incomplete,incomplete,False,False,False,Semiconductors
2026-04-10,MTB,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Regional Banks
2026-04-10,MYE,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Miscellaneous Manufacturing
2026-04-10,NBIS,incomplete_evidence,EXTENDED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Packaged Software
2026-04-10,NHC,constructive_pullback,ACTIONABLE,pullback,True,True,False,confirmed,confirmed_pullback,True,False,True,Hospital/Nursing Management
2026-04-10,NVT,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Electronic Components
2026-04-10,OPY,incomplete_evidence,EXTENDED,pullback,False,True,False,incomplete,incomplete,False,False,False,Investment Banks/Brokers
2026-04-10,PAHC,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,PFG,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Investment Managers
2026-04-10,PFIS,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Regional Banks
2026-04-10,SMTC,tail_risk,ACTIONABLE,pullback,True,False,True,failure,failure,False,False,False,Semiconductors
2026-04-10,SNDK,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Computer Peripherals
2026-04-10,SPIR,fresh_demand_alpha,ACTIONABLE,non_pullback,True,True,False,confirmed,confirmed_non_pullback,False,False,True,Unknown
2026-04-10,SSRM,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Precious Metals
2026-04-10,STX,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Computer Peripherals
2026-04-10,TCBI,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Major Banks
2026-04-10,TER,incomplete_evidence,EXTENDED,pullback,False,True,False,incomplete,incomplete,False,False,False,Electronic Production Equipment
2026-04-10,TTMI,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Electronic Components
2026-04-10,UI,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Unknown
2026-04-10,VALE,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,VRT,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Electronic Production Equipment
2026-04-10,VTR,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Real Estate Investment Trusts
