snapshot_date,policy_id,pick_count,selected_codes,composition_groups,setup_routes,industries,confirmed_non_pullback_count,confirmed_pullback_count,standard_count,incomplete_count,distinct_industry_count
2026-04-10,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""SPIR"", ""FRAF"", ""HLIO""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""non_pullback"", ""non_pullback""]","[""Unknown"", ""Regional Banks"", ""Industrial Machinery""]",3,0,0,0,3
2026-04-10,TRACK_F__CONFIRMED_ONLY_TOP3,3,"[""SPIR"", ""FRAF"", ""HLIO""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""non_pullback"", ""non_pullback""]","[""Unknown"", ""Regional Banks"", ""Industrial Machinery""]",3,0,0,0,3
2026-04-10,TRACK_F__FCS_MAX1,2,"[""SPIR"", ""BVFL""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Unknown"", ""Savings Banks""]",1,1,0,0,2
2026-04-10,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""SPIR"", ""FRAF"", ""HLIO""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""non_pullback"", ""non_pullback""]","[""Unknown"", ""Regional Banks"", ""Industrial Machinery""]",3,0,0,0,3
2026-04-10,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,3,"[""SPIR"", ""FRAF"", ""HLIO""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""non_pullback"", ""non_pullback""]","[""Unknown"", ""Regional Banks"", ""Industrial Machinery""]",3,0,0,0,3
2026-04-10,TRACK_F__FCS_MAX1_NO_IND,2,"[""SPIR"", ""DBD""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Unknown"", ""Unknown""]",1,1,0,0,1
2026-04-17,B0_ORIGINAL,3,"[""AMLX"", ""ALB"", ""CVEO""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""non_pullback"", ""pullback""]","[""Pharmaceuticals: Major"", ""Unknown"", ""Hotels/Resorts/Cruise lines""]",2,1,0,0,3
2026-04-17,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""CVEO"", ""AMLX"", ""CASS""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""pullback"", ""non_pullback"", ""pullback""]","[""Hotels/Resorts/Cruise lines"", ""Pharmaceuticals: Major"", ""Miscellaneous Commercial Services""]",1,2,0,0,3
2026-04-17,TRACK_F__CONFIRMED_ONLY_TOP3,3,"[""CVEO"", ""AMLX"", ""CASS""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""pullback"", ""non_pullback"", ""pullback""]","[""Hotels/Resorts/Cruise lines"", ""Pharmaceuticals: Major"", ""Miscellaneous Commercial Services""]",1,2,0,0,3
2026-04-17,TRACK_F__FCS_MAX1,2,"[""CVEO"", ""AMLX""]","[""confirmed_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback""]","[""Hotels/Resorts/Cruise lines"", ""Pharmaceuticals: Major""]",1,1,0,0,2
