snapshot_date,code,new_status,new_missing_reason
2026-05-15,PAA,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-15,USAC,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-15,SATS,expected_unavailable,NO_QUARTERLY_EPS
2026-05-15,VLGEA,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE
2026-05-15,WES,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-22,ARM,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-22,CYD,expected_unavailable,NO_QUARTERLY_EPS
2026-05-22,SKYT,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE
2026-05-22,BK,expected_unavailable,NO_QUARTERLY_EPS
2026-05-22,WBI,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-22,MANU,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-22,TIGO,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-22,KRP,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-29,BUUU,expected_unavailable,NO_QUARTERLY_EPS
2026-05-29,ALM,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-29,ARM,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-29,LIND,expected_unavailable,PRIOR_YEAR_EPS_ZERO
2026-05-29,MEC,expected_unavailable,PRIOR_YEAR_EPS_ZERO
2026-05-29,ENLT,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-29,VLGEA,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE
2026-05-29,NTB,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-05-29,SILA,expected_unavailable,NO_QUARTERLY_EPS
2026-05-29,WLKP,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-05,MEC,expected_unavailable,PRIOR_YEAR_EPS_ZERO
2026-06-05,JLHL,expected_unavailable,NO_QUARTERLY_EPS
2026-06-05,TNK,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-05,GRDN,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-05,XOMA,expected_unavailable,NO_QUARTERLY_EPS
2026-06-05,AVNS,expected_unavailable,NO_QUARTERLY_EPS
2026-06-05,IGIC,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-05,KRP,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-05,NTB,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-05,WLKP,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-05,PRA,expected_unavailable,NO_QUARTERLY_EPS
2026-06-12,NUVL,expected_unavailable,NO_QUARTERLY_EPS
2026-06-12,ASML,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,SYRE,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,ASRT,expected_unavailable,NO_QUARTERLY_EPS
