comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,stop8_diff_wilcoxon_p,mean_all_stopped_rate_diff_pct,all_stopped_diff_wilcoxon_p,mean_profit20_rate_diff_pct,removed_gate,screening_gate_verdict
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W4,PRIMARY,Train-era weeks 1-30,29,0.0,0.5214,17.24,0.9102,-0.8928,2.4495,0.2503,0.78,1.0,-0.06,0.4961,3.86,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W1,PRIMARY,Contaminated validation weeks 31-40,11,0.0,-0.0959,27.27,0.5625,-0.2889,0.0819,0.034,-1.18,0.1562,-1.2,0.1875,-0.1,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W2,PRIMARY,Contaminated validation weeks 31-40,11,0.0,-0.0238,36.36,1.0,-0.3418,0.2363,0.0601,-1.18,0.1562,-1.2,0.1875,-0.1,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,10,0.0,-0.0414,40.0,1.0,-0.4734,0.3287,0.1299,-1.3,0.1562,-1.32,0.1875,-0.11,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W4,PRIMARY,Contaminated validation weeks 31-40,9,0.0,0.0353,44.44,0.8438,-0.3959,0.4403,0.0689,-0.94,0.3125,-1.46,0.1875,-0.13,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W1,PRIMARY,All historical,40,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W2,PRIMARY,All historical,40,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W3,DIAGNOSTIC_ONLY,All historical,39,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W4,PRIMARY,All historical,38,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W1,PRIMARY,Train-era weeks 1-30,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W2,PRIMARY,Train-era weeks 1-30,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W4,PRIMARY,Train-era weeks 1-30,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W1,PRIMARY,Contaminated validation weeks 31-40,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W2,PRIMARY,Contaminated validation weeks 31-40,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Industry Known Gate (E0 vs NO_INDUSTRY_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_INDUSTRY_KNOWN,W4,PRIMARY,Contaminated validation weeks 31-40,9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Industry_Known,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
