original_code,resolved_code,action,bars_count,first_price_date,last_price_date,status,source
BSRR,BSRR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BSVN,BSVN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BTSG,BTSG,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BTU,BTU,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BURL,BURL,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BUSE,BUSE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BUUU,BUUU,CACHE_HIT,257,2025-08-14,2026-08-21,OK,results_pkl
BVFL,BVFL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BVS,BVS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BW,BW,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BWA,BWA,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BWB,BWB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BWFG,BWFG,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BY,BY,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BZH,BZH,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
C,C,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CAC,CAC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CAH,CAH,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CAKE,CAKE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CALY,CALY,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CAMT,CAMT,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CAPL,CAPL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CARE,CARE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CASH,CASH,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CASS,CASS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CASY,CASY,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CAT,CAT,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CATY,CATY,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CB,CB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CBAN,CBAN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CBFV,CBFV,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CBK,CBK,CACHE_HIT,223,2025-10-02,2026-08-21,OK,results_pkl
CBL,CBL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CBNA,CBNA,CACHE_HIT,471,2024-10-04,2026-08-21,OK,results_pkl
CBNK,CBNK,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CBOE,CBOE,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CBU,CBU,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CC,CC,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CCBG,CCBG,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CCK,CCK,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CCNE,CCNE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CCSI,CCSI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CCXI,CCXI,CACHE_HIT,136,2026-02-09,2026-08-24,OK,yahoo_download
CDE,CDE,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CDNA,CDNA,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CDNS,CDNS,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CDP,CDP,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CE,CE,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CECO,CECO,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CEG,CEG,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CELC,CELC,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CENX,CENX,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CEVA,CEVA,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CF,CF,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CFFI,CFFI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CFG,CFG,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CFR,CFR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CGEM,CGEM,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CGNX,CGNX,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CHCO,CHCO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CHEF,CHEF,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CHMG,CHMG,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CHRN,CHRN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CHRW,CHRW,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CIEN,CIEN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CIFR,CIFR,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CINF,CINF,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CIVB,CIVB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CIX,CIX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CLBK,CLBK,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CLDX,CLDX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CLFD,CLFD,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CLMT,CLMT,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CLST,CLST,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CMC,CMC,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CMI,CMI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CMP,CMP,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CMPR,CMPR,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CNA,CNA,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CNC,CNC,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CNK,CNK,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CNO,CNO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CNOB,CNOB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CNP,CNP,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CNS,CNS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CNXN,CNXN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
COAG,COAG,CACHE_HIT,78,2026-05-01,2026-08-21,OK,results_pkl
COCO,COCO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
COE,COE,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
COF,COF,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
COHR,COHR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
COHU,COHU,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
COLL,COLL,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CON,CON,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CORZ,CORZ,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
COSO,COSO,CACHE_HIT,324,2025-05-08,2026-08-21,OK,results_pkl
CPAY,CPAY,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CPBI,CPBI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CPF,CPF,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CPNG,CPNG,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CR,CR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
