variant,date,code,event,signal_date,price
allow_zero_strict,2026-04-20,JNJ,stop_loss,2026-02-27,229.18725000000003
allow_zero_strict,2026-02-27,EQIX,entry_missing,2026-02-27,
allow_zero_strict,2026-03-06,FIGS,entry_missing,2026-03-06,
allow_zero_strict,2026-03-09,RTX,entry,2026-03-06,210.18
allow_zero_strict,2026-03-23,RTX,stop_loss,2026-03-06,194.4165
allow_zero_strict,2026-03-16,DOCN,entry,2026-03-13,69.36
allow_zero_strict,2026-03-18,DOCN,power_trigger,2026-03-13,79.512
allow_zero_strict,2026-03-13,NYAX,entry_missing,2026-03-13,
allow_zero_strict,2026-03-20,LMND,entry_missing,2026-03-20,
allow_zero_strict,2026-03-30,DELL,entry,2026-03-27,171.95
allow_zero_strict,2026-03-31,DELL,stop_loss,2026-03-27,159.05375
allow_zero_strict,2026-03-27,CASY,entry_missing,2026-03-27,
allow_zero_strict,2026-04-06,PFIS,entry,2026-04-02,53.83
allow_zero_strict,2026-06-26,PFIS,profit_take,2026-04-02,65.94175
allow_zero_strict,2026-04-02,INVA,entry_missing,2026-04-02,
allow_zero_strict,2026-04-06,MRVL,entry,2026-04-02,109.37
allow_zero_strict,2026-04-10,MRVL,power_trigger,2026-04-02,123.24
allow_zero_strict,2026-04-10,DBD,entry_missing,2026-04-10,
allow_zero_strict,2026-04-13,FRAF,entry,2026-04-10,56.14
allow_zero_strict,2026-04-13,HLIO,entry,2026-04-10,70.62
allow_zero_strict,2026-05-04,HLIO,stop_loss,2026-04-10,65.32350000000001
allow_zero_strict,2026-04-20,CVEO,entry,2026-04-17,30.35
allow_zero_strict,2026-04-20,AMLX,entry,2026-04-17,18.16
allow_zero_strict,2026-04-24,AMLX,stop_loss,2026-04-17,16.798000000000002
allow_zero_strict,2026-04-17,ALB,entry_missing,2026-04-17,
allow_zero_strict,2026-04-24,NYAX,entry_missing,2026-04-24,
allow_zero_strict,2026-04-27,BATRA,entry,2026-04-24,53.88
allow_zero_strict,2026-04-27,MCRI,entry,2026-04-24,114.71
allow_zero_strict,2026-05-04,RBB,entry,2026-05-01,24.09
allow_zero_strict,2026-05-01,IRM,entry_missing,2026-05-01,
allow_zero_strict,2026-05-04,NVEC,entry,2026-05-01,87.11
allow_zero_strict,2026-05-04,NVEC,stop_loss,2026-05-01,80.57675
allow_zero_strict,2026-05-08,VVX,entry_missing,2026-05-08,
allow_zero_strict,2026-05-11,HFBL,entry,2026-05-08,20.16
allow_zero_strict,2026-08-20,HFBL,profit_take,2026-05-08,24.696
allow_zero_strict,2026-05-11,FTNT,entry,2026-05-08,112.1
allow_zero_strict,2026-05-29,FTNT,profit_take,2026-05-08,137.3225
allow_zero_strict,2026-05-18,HLIO,entry,2026-05-15,77.34
allow_zero_strict,2026-06-25,HLIO,profit_take,2026-05-15,94.74150000000002
allow_zero_strict,2026-05-18,CVS,entry,2026-05-15,95.11
allow_zero_strict,2026-05-15,VAL,entry_missing,2026-05-15,
allow_zero_strict,2026-05-22,CMPR,entry_missing,2026-05-22,
allow_zero_strict,2026-05-26,ROIV,entry,2026-05-22,29.98
allow_zero_strict,2026-07-09,ROIV,profit_take,2026-05-22,36.725500000000004
allow_zero_strict,2026-05-26,PDLB,entry,2026-05-22,18.8
allow_zero_strict,2026-06-01,FUSB,entry,2026-05-29,15.93
allow_zero_strict,2026-06-01,CSTM,entry,2026-05-29,33.98
allow_zero_strict,2026-06-26,CSTM,stop_loss,2026-05-29,31.4315
allow_zero_strict,2026-05-29,NBIX,entry_missing,2026-05-29,
allow_zero_strict,2026-06-08,TBBB,entry,2026-06-05,39.43
allow_zero_strict,2026-08-13,TBBB,profit_take,2026-06-05,48.301750000000006
allow_zero_strict,2026-06-05,NBIX,entry_missing,2026-06-05,
allow_zero_strict,2026-06-05,MCRI,repeat_signal_ignored,2026-06-05,
allow_zero_strict,2026-06-15,CZWI,entry,2026-06-12,21.61
allow_zero_strict,2026-08-10,CZWI,gap_stop,2026-06-12,19.18
allow_zero_strict,2026-06-15,SLAB,entry,2026-06-12,219.75
allow_zero_strict,2026-06-15,WBS,entry,2026-06-12,74.26
allow_zero_strict,2026-06-22,TER,entry,2026-06-18,456.14
allow_zero_strict,2026-06-23,TER,gap_stop,2026-06-18,410.17
allow_zero_strict,2026-06-22,ADI,entry,2026-06-18,437.75
allow_zero_strict,2026-06-23,ADI,stop_loss,2026-06-18,404.91875000000005
allow_zero_strict,2026-06-18,GEV,entry_missing,2026-06-18,
allow_zero_strict,2026-06-26,EGBN,entry_missing,2026-06-26,
allow_zero_strict,2026-06-29,ETON,entry,2026-06-26,35.66
allow_zero_strict,2026-07-21,ETON,profit_take,2026-06-26,43.6835
allow_zero_strict,2026-06-29,DNTH,entry,2026-06-26,96.05
allow_zero_strict,2026-07-02,DNTH,stop_loss,2026-06-26,88.84625
allow_zero_strict,2026-07-06,BSET,entry,2026-07-02,20.15
allow_zero_strict,2026-07-08,BSET,stop_loss,2026-07-02,18.638749999999998
allow_zero_strict,2026-07-06,NTST,entry,2026-07-02,21.53
allow_zero_strict,2026-08-11,NTST,stop_loss,2026-07-02,19.91525
allow_zero_strict,2026-07-06,SBFG,entry,2026-07-02,24.93
allow_zero_strict,2026-07-10,LASR,entry_missing,2026-07-10,
allow_zero_strict,2026-07-13,RAPP,entry,2026-07-10,41.12
allow_zero_strict,2026-07-13,BSVN,entry,2026-07-10,51.48
allow_zero_strict,2026-07-23,BSVN,stop_loss,2026-07-10,47.619
allow_zero_strict,2026-07-20,GPRE,entry,2026-07-17,19.01
allow_zero_strict,2026-07-20,GPRE,stop_loss,2026-07-17,17.58425
allow_zero_strict,2026-07-17,IRM,entry_missing,2026-07-17,
allow_zero_strict,2026-07-20,SRBK,entry,2026-07-17,19.54
allow_zero_strict,2026-07-27,IMAX,entry,2026-07-24,43.71
allow_zero_strict,2026-08-13,IMAX,profit_take,2026-07-24,53.54475000000001
allow_zero_strict,2026-07-27,EDRY,entry,2026-07-24,23.96
allow_zero_strict,2026-08-06,EDRY,power_trigger,2026-07-24,28.799999999999997
allow_zero_strict,2026-07-27,BLFS,entry,2026-07-24,29.87
allow_zero_strict,2026-08-19,BLFS,profit_take,2026-07-24,36.59075000000001
allow_zero_strict,2026-08-03,SHOO,entry,2026-07-31,47.26
allow_zero_strict,2026-07-31,GSAT,entry_missing,2026-07-31,
allow_zero_strict,2026-08-03,CZFS,entry,2026-07-31,78.3
allow_zero_strict,2026-08-10,CFFI,entry,2026-08-07,86.3
allow_zero_strict,2026-08-10,BVS,entry,2026-08-07,13.89
allow_zero_strict,2026-08-07,MTUS,entry_missing,2026-08-07,
b0_repository_skill,2025-10-24,IBM,entry_missing,2025-10-24,
b0_repository_skill,2025-10-27,AAPL,entry,2025-10-24,263.91
b0_repository_skill,2026-01-20,AAPL,stop_loss,2025-10-24,244.11675000000002
b0_repository_skill,2025-11-03,VTR,entry,2025-10-31,71.73
b0_repository_skill,2026-04-30,VTR,profit_take,2025-10-31,87.86925000000001
b0_repository_skill,2025-10-31,SOFI,entry_missing,2025-10-31,
b0_repository_skill,2025-11-07,COLL,entry_missing,2025-11-07,
b0_repository_skill,2025-11-17,ALL,entry,2025-11-14,211.99
b0_repository_skill,2026-01-13,ALL,stop_loss,2025-11-14,196.09075
b0_repository_skill,2025-11-17,LH,entry,2025-11-14,263.62
b0_repository_skill,2026-01-05,LH,stop_loss,2025-11-14,243.84850000000003
b0_repository_skill,2025-11-14,LYFT,entry_missing,2025-11-14,
b0_repository_skill,2025-11-21,WMT,entry_missing,2025-11-21,
b0_repository_skill,2025-11-28,MNST,entry_missing,2025-11-28,
b0_repository_skill,2025-12-01,ROST,entry,2025-11-28,174.38
b0_repository_skill,2026-03-04,ROST,profit_take,2025-11-28,213.6155
b0_repository_skill,2025-11-28,WFC,entry_missing,2025-11-28,
b0_repository_skill,2025-12-05,DASH,entry_missing,2025-12-05,
b0_repository_skill,2025-12-22,SCHW,entry,2025-12-19,98.58
b0_repository_skill,2026-02-23,SCHW,stop_loss,2025-12-19,91.18650000000001
b0_repository_skill,2025-12-22,PLTR,entry,2025-12-19,195.04
b0_repository_skill,2025-12-31,PLTR,stop_loss,2025-12-19,180.412
b0_repository_skill,2025-12-22,MU,entry,2025-12-19,276.88
b0_repository_skill,2026-01-02,MU,power_trigger,2025-12-19,308.484
b0_repository_skill,2025-12-29,HEI,entry,2025-12-26,333.96
b0_repository_skill,2026-02-26,HEI,stop_loss,2025-12-26,308.913
b0_repository_skill,2025-12-26,HUT,entry_missing,2025-12-26,
b0_repository_skill,2026-01-02,FTAI,entry_missing,2026-01-02,
b0_repository_skill,2026-01-12,GH,entry,2026-01-09,113.0
b0_repository_skill,2026-01-12,GH,stop_loss,2026-01-09,104.525
b0_repository_skill,2026-01-16,BKR,entry_missing,2026-01-16,
b0_repository_skill,2026-01-16,FE,entry_missing,2026-01-16,
b0_repository_skill,2026-01-26,MTB,entry,2026-01-23,210.87
b0_repository_skill,2026-03-13,MTB,stop_loss,2026-01-23,195.05475
b0_repository_skill,2026-01-23,MDT,entry_missing,2026-01-23,
b0_repository_skill,2026-01-30,HON,entry_missing,2026-01-30,
b0_repository_skill,2026-01-30,AAOI,entry_missing,2026-01-30,
b0_repository_skill,2026-01-30,ZM,entry_missing,2026-01-30,
b0_repository_skill,2026-02-13,WULF,entry_missing,2026-02-13,
b0_repository_skill,2026-02-23,FANG,entry,2026-02-20,173.31
b0_repository_skill,2026-08-19,FANG,profit_take,2026-02-20,212.30475
b0_repository_skill,2026-02-20,HEI,repeat_signal_ignored,2026-02-20,
b0_repository_skill,2026-02-20,UAL,entry_missing,2026-02-20,
b0_repository_skill,2026-02-27,GMED,entry_missing,2026-02-27,
b0_repository_skill,2026-02-27,EQIX,entry_missing,2026-02-27,
b0_repository_skill,2026-03-02,EXPE,entry,2026-02-27,207.42
b0_repository_skill,2026-03-05,EXPE,power_trigger,2026-02-27,247.284
b0_repository_skill,2026-03-06,FIGS,entry_missing,2026-03-06,
b0_repository_skill,2026-03-09,RTX,entry,2026-03-06,210.18
b0_repository_skill,2026-03-23,RTX,stop_loss,2026-03-06,194.4165
b0_repository_skill,2026-03-16,DOCN,entry,2026-03-13,69.36
b0_repository_skill,2026-03-18,DOCN,power_trigger,2026-03-13,79.512
b0_repository_skill,2026-03-20,LMND,entry_missing,2026-03-20,
b0_repository_skill,2026-03-30,DELL,entry,2026-03-27,171.95
b0_repository_skill,2026-03-31,DELL,stop_loss,2026-03-27,159.05375
b0_repository_skill,2026-03-27,CASY,entry_missing,2026-03-27,
b0_repository_skill,2026-04-06,MRVL,entry,2026-04-02,109.37
b0_repository_skill,2026-04-10,MRVL,power_trigger,2026-04-02,123.24
b0_repository_skill,2026-04-02,INVA,entry_missing,2026-04-02,
b0_repository_skill,2026-04-06,PFIS,entry,2026-04-02,53.83
b0_repository_skill,2026-06-26,PFIS,profit_take,2026-04-02,65.94175
