code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
CALY,2026-06-12,True,ceiling_breakout,,ceiling,16.65,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,17.38,4.38,UNCONFIRMED,0.9221619515348476,0.0,2026-06-08,4.4,0,0,16.65,2026-01-19,-26.4,2,20,26.4,2.940298507462687,131.0,0,,,,True,False,2250.0,18.0,-3.44444444444445,Consumer Durables,Recreational Products,SEC,resolved,,GROWTH
PLGO,2026-06-12,True,pivot,False,pivot,23.61,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 23.61, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,23.65,0.17,UNCONFIRMED,0.8367209840303365,12.8,2026-04-13,16.4,1,0,20.32,2024-11-25,-31.7,5,72,31.7,2.933768656716418,132.0,3,5.0,-10.7,0.2,True,False,329.2682926829,24.06,-1.704073150457186,Finance,Multi-Line Insurance,YahooHistoricalEvent,resolved,,TURNAROUND
EFSC,2026-06-12,True,ceiling_breakout,,ceiling,61.79,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,64.19,3.88,UNCONFIRMED,0.8235005210535592,0.0,2026-06-08,3.9,0,0,61.79,2024-11-18,-28.5,6,81,28.5,2.9141791044776117,133.0,0,,,,True,False,-0.7633587786,64.35,-0.2486402486402417,Finance,Regional Banks,SEC,resolved,,DECLINE
PLPC,2026-06-12,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,371.8,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-06-08"", ""ma10_prior_week"": 340.237, ""pending_high"": 371.8, ""touch_date"": ""2026-05-04""}",0.0,,,,,,,,,daily_volume_not_confirmed,375.42,0.97,UNCONFIRMED,0.7109215914845726,43.6,2026-03-09,56.1,3,0,240.57,2025-10-20,-23.6,2,20,23.6,2.9095149253731347,134.0,2,3.0,-7.0,-3.0,True,False,-8.1545064378,397.34,-5.51668596164493,Producer Manufacturing,Building Products,SEC,resolved,,DECLINE
CDP,2026-06-12,True,pivot,,pivot,32.96,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 32.96, ""resistance_date"": ""2026-06-08""}, {""box_type"": ""S_BOX"", ""price"": 32.96, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,34.54,4.79,UNCONFIRMED,1.039309356983511,5.8,2026-06-01,6.8,1,0,32.33,2024-11-25,-29.1,7,79,29.1,2.8694029850746268,135.0,0,,,,True,False,9.6774193548,34.78,-0.6900517538815487,Finance,Real Estate Investment Trusts,SEC,resolved,,GROWTH
ASH,2026-06-12,True,ceiling_breakout,,ceiling,63.94,ceiling_breakout,,1.0,2026-06-10,63.99,63.94,1.5582107776336305,0.0145448858304662,0.3616438356164398,0.2547945205479466,ceiling,,64.98,1.63,ACTIONABLE,1.5355869818217136,0.0,2026-06-08,1.6,0,0,63.94,2026-02-16,-25.2,2,16,25.2,2.868470149253731,136.0,0,,,,True,True,-47.6923076923,67.2,-3.303571428571428,Consumer Non-Durables,Food: Specialty/Candy,SEC,resolved,,DECLINE
NNN,2026-06-12,True,ceiling_breakout,,ceiling,45.2,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,46.59,3.08,UNCONFIRMED,1.0133960441183625,0.0,2026-06-08,3.1,0,0,45.2,2024-10-14,-26.3,7,86,26.3,2.862873134328358,137.0,0,,,,True,False,-1.9230769231,46.9,-0.6609808102345349,Finance,Real Estate Investment Trusts,SEC,resolved,,DECLINE
FCBC,2026-06-12,True,pivot,,pivot,43.77,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 43.77, ""resistance_date"": ""2026-06-08""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 43.77, ""resistance_date"": ""2026-06-08""}}",1.0,2026-06-10,43.87,43.77,1.8196222750389737,0.0118802832990632,0.7964601769911499,0.2300884955752196,pivot,,44.08,0.71,ACTIONABLE,1.264452427598881,4.0,2026-05-18,5.4,1,0,41.82,2024-07-22,-28.7,7,95,28.7,2.8507462686567164,138.0,0,,,,True,False,-1.5625,45.0,-2.0444444444444487,Finance,Regional Banks,SEC,resolved,,DECLINE
BAP,2026-06-12,True,ceiling_breakout,,ceiling,348.93,ceiling_breakout,,1.0,2026-06-09,348.93,348.93,3.03630629902159,0.0019488149485571,0.3877626244010327,0.0250645042388501,ceiling,,369.55,5.91,EXTENDED,1.8714237300360383,0.0,2026-06-08,5.9,0,0,348.93,2026-01-26,-17.9,2,19,17.9,2.819029850746269,139.0,0,,,,True,True,25.2475247525,376.77,-1.916288451840642,Finance,Major Banks,YahooHistoricalEvent,resolved,,GROWTH
COCO,2026-06-12,True,pivot,True,pivot,78.55,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 78.55, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,80.9,2.99,UNCONFIRMED,0.8743183653262658,21.2,2026-04-27,37.0,1,0,59.05,2026-02-02,-23.8,1,12,23.8,2.809701492537313,140.0,1,5.0,-7.4,3.0,True,False,61.2903225806,82.33,-1.7369124256042645,Consumer Non-Durables,Food: Specialty/Candy,SEC,resolved,,GROWTH
