selector_id,classification,train_oof_w4_med_spread,train_oof_w4_cvar_delta,train_oof_w4_stop_delta,val_w4_med_spread,val_w4_mean_spread,val_w4_cvar_delta,val_w4_stop_delta,val_support_weeks
actionable_f1_elastic_w2_distinct_industry,UNSTABLE,1.7231333333333327,0.869766666666667,11.11111111111111,-4.144733333333333,-5.767304761904762,3.0118666666666662,33.33333333333333,7
actionable_f1_elastic_w2_portfolio_aware,INFERIOR,-0.2021833333333336,0.869766666666667,16.666666666666664,-4.144733333333333,-5.767304761904762,3.0118666666666662,33.33333333333333,7
actionable_agent_lgbm_w2_distinct_industry,UNSTABLE,0.1305000000000014,-8.81903333333333,1.586032892321652e-15,-4.2038,-2.9391148148148147,1.865333333333334,11.11111111111111,9
actionable_agent_lgbm_w2_portfolio_aware,UNSTABLE,0.1305000000000014,-8.81903333333333,1.586032892321652e-15,-4.2038,-2.9391148148148147,1.865333333333334,11.11111111111111,9
actionable_agent_elastic_w4_distinct_industry,INFERIOR,-8.425433333333334,-8.819033333333334,19.04761904761905,-4.473616666666667,-5.120845833333333,-1.5028000000000006,25.0,8
actionable_agent_ridge_w1_distinct_industry,UNSTABLE,3.054883333333333,0.869766666666667,11.111111111111112,-4.4971,-6.3008,3.0118666666666662,27.777777777777775,6
actionable_agent_ridge_w1_portfolio_aware,INFERIOR,-0.2021833333333336,-0.852266666666667,16.666666666666664,-4.4971,-6.3008,3.0118666666666662,27.777777777777775,6
actionable_agent_ridge_w1_pure_rank,INFERIOR,-2.3245333333333345,-3.3749333333333347,16.666666666666664,-4.4971,-6.3008,3.0118666666666662,27.777777777777775,6
actionable_agent_ridge_w4_distinct_industry,INFERIOR,-4.047333333333334,-8.819033333333334,19.04761904761905,-4.605266666666667,-5.296383333333333,-1.5028000000000006,29.166666666666664,8
actionable_f1_lgbm_w4_portfolio_aware,UNSTABLE,4.2655666666666665,6.972766666666667,9.523809523809526,-5.278333333333333,-4.59307037037037,-11.329233333333335,33.33333333333333,9
actionable_f1_lgbm_w4_pure_rank,UNSTABLE,4.2655666666666665,6.972766666666667,9.523809523809526,-5.278333333333333,-4.59307037037037,-11.329233333333335,33.33333333333333,9
actionable_agent_lgbm_w4_portfolio_aware,UNSTABLE,4.2655666666666665,4.047133333333334,9.523809523809526,-5.278333333333333,-6.048303703703703,-6.833966666666669,40.74074074074074,9
actionable_agent_lgbm_w4_pure_rank,UNSTABLE,4.2655666666666665,4.047133333333334,9.523809523809526,-5.278333333333333,-6.939888888888888,-6.833966666666669,37.03703703703704,9
actionable_f1_elastic_w1_distinct_industry,INFERIOR,-1.9125166666666664,-2.1363666666666656,11.11111111111111,-5.424966666666668,-7.165394444444445,-5.242100000000001,33.33333333333333,6
actionable_f1_elastic_w1_portfolio_aware,INFERIOR,-2.984466666666667,-2.1363666666666656,22.22222222222222,-5.424966666666668,-7.165394444444445,-5.242100000000001,33.33333333333333,6
actionable_f1_elastic_w1_pure_rank,INFERIOR,-2.984466666666667,-2.1363666666666656,16.666666666666664,-5.424966666666668,-8.110294444444445,-5.242100000000001,33.33333333333333,6
actionable_agent_elastic_w1_distinct_industry,UNSTABLE,2.66925,0.869766666666667,5.555555555555555,-5.69485,-4.631322222222223,3.0118666666666662,33.33333333333333,6
actionable_agent_elastic_w1_pure_rank,UNSTABLE,1.871316666666666,1.6082,11.111111111111112,-5.69485,-4.631322222222223,3.0118666666666662,33.33333333333333,6
actionable_f1_ridge_w1_distinct_industry,UNSTABLE,3.054883333333333,0.869766666666667,11.111111111111112,-5.897349999999999,-6.103322222222221,0.3907999999999987,33.33333333333333,6
actionable_f1_ridge_w1_pure_rank,INFERIOR,-2.3245333333333345,-3.3749333333333347,16.666666666666664,-5.897349999999999,-6.693561111111111,0.3907999999999987,33.33333333333333,6
signal_f1_elastic_w1_portfolio_aware,UNSTABLE,8.0312,7.098000000000001,23.80952380952381,-6.141866666666667,-9.509970833333334,-7.617366666666662,37.5,8
signal_f1_ridge_w1_distinct_industry,UNSTABLE,8.0312,7.098000000000001,23.80952380952381,-6.141866666666667,-9.544995833333331,-14.264733333333329,33.33333333333333,8
signal_f1_ridge_w1_portfolio_aware,UNSTABLE,8.0312,7.098000000000001,23.80952380952381,-6.141866666666667,-9.544995833333331,-14.264733333333329,33.33333333333333,8
signal_f1_elastic_w1_distinct_industry,UNSTABLE,8.0312,7.098000000000001,23.80952380952381,-6.141866666666667,-9.9349625,-7.617366666666662,41.666666666666664,8
actionable_agent_ridge_w2_pure_rank,INFERIOR,-2.4890833333333338,-8.819033333333334,16.666666666666664,-6.284983333333333,-4.690833333333334,3.0118666666666662,25.0,8
actionable_agent_elastic_w4_portfolio_aware,INFERIOR,-7.648266666666667,-3.374933333333333,23.809523809523814,-6.4131,-5.858461904761904,-1.5028000000000006,23.809523809523807,7
actionable_agent_elastic_w4_pure_rank,INFERIOR,-7.648266666666667,-3.374933333333333,28.57142857142857,-6.4131,-5.858461904761904,-1.5028000000000006,23.809523809523807,7
