eps_mode,variant,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date
with_eps,grid_act_epsknown_ind_prox_clean_relaxed,backtrader,10000.0,8.0,101,98,62,15140.1528,51.401528,-16.901371762076632,121,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_def_keep_strict,backtrader,10000.0,8.0,105,102,65,14418.450400000003,44.184504000000025,-16.901371762076632,109,6,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_def_keep_relaxed,backtrader,10000.0,8.0,105,102,65,14418.450400000003,44.184504000000025,-16.901371762076632,109,6,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_def_nodry_strict,backtrader,10000.0,8.0,89,88,56,16144.2096,61.44209599999999,-10.02067430911211,88,1,37,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_def_nodry_relaxed,backtrader,10000.0,8.0,105,102,65,14418.450400000003,44.184504000000025,-16.901371762076632,109,6,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_def_nogeom_strict,backtrader,10000.0,8.0,99,96,61,14708.061199999996,47.08061199999995,-17.01299486456068,109,6,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_def_nogeom_relaxed,backtrader,10000.0,8.0,105,102,63,15913.284,59.13283999999999,-16.901371762076632,121,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_def_clean_strict,backtrader,10000.0,8.0,86,85,54,15874.592799999995,58.74592799999996,-10.012803087239009,87,1,36,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_def_clean_relaxed,backtrader,10000.0,8.0,105,102,64,16606.794,66.06794000000002,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_prox_keep_strict,backtrader,10000.0,8.0,105,101,64,14899.691599999995,48.996915999999956,-16.992765770444652,111,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_prox_keep_relaxed,backtrader,10000.0,8.0,105,101,64,14899.691599999995,48.996915999999956,-16.992765770444652,111,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_prox_nodry_strict,backtrader,10000.0,8.0,89,87,55,16695.551199999998,66.95551199999998,-10.022539156470934,94,1,37,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_prox_nodry_relaxed,backtrader,10000.0,8.0,105,101,64,16215.211599999995,62.15211599999995,-16.992765770444652,112,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_prox_nogeom_strict,backtrader,10000.0,8.0,99,95,62,14819.429999999997,48.194299999999956,-16.80077824250369,119,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_prox_nogeom_relaxed,backtrader,10000.0,8.0,105,101,64,16972.761599999998,69.72761599999997,-16.992765770444652,121,4,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_prox_clean_strict,backtrader,10000.0,8.0,86,84,54,14961.174799999993,49.61174799999994,-14.749838526393589,95,1,36,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_noind_prox_clean_relaxed,backtrader,10000.0,8.0,105,101,64,17406.401599999997,74.06401599999997,-16.992765770444652,119,4,40,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_def_keep_strict,backtrader,10000.0,8.0,88,84,54,16364.43,63.64430000000001,-11.268163007446198,110,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_def_keep_relaxed,backtrader,10000.0,8.0,88,84,54,16364.43,63.64430000000001,-11.268163007446198,110,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_def_nodry_strict,backtrader,10000.0,8.0,72,69,46,16510.21,65.10209999999998,-3.5030970406056405,85,0,32,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_def_nodry_relaxed,backtrader,10000.0,8.0,88,84,54,16364.43,63.64430000000001,-11.268163007446198,110,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_def_nogeom_strict,backtrader,10000.0,8.0,84,78,52,18205.469999999994,82.05469999999994,-6.608368436601408,112,2,37,2025-10-24,2026-08-21
